t, n, Tsim, raw
6.5700145, 2100,3.0,
6.6000147, 2100,3.0,
6.630015, 2100,3.0,
6.660015, 2100,3.0,
6.6900153, 2100,3.0,
6.7200155, 2100,3.0,
6.7500157, 2100,2.0,
6.780016, 2100,3.0,
6.810016, 2100,3.0,
6.8400164, 2200,3.0,
6.8700166, 2200,4.0,
6.900017, 2200,6.0,
6.930017, 2200,3.0,
6.960017, 2200,4.0,
6.9900174, 2200,3.0,
7.0200176, 2200,4.0,
7.050018, 2200,4.0,
7.080018, 2200,3.0,
7.1100183, 2200,3.0,
7.1400185, 2200,3.0,
7.1700187, 2200,3.0,
7.200019, 2200,4.0,
7.230019, 2200,3.0,
7.2600193, 2200,3.0,
7.2900195, 2200,3.0,
7.3200197, 2300,3.0,
7.35002, 2300,3.0,
7.38002, 2300,4.0,
7.4100204, 2300,3.0,
7.4400206, 2300,4.0,
7.470021, 2300,3.0,
7.500021, 2300,3.0,
7.530021, 2300,4.0,
7.5600214, 2300,3.0,
7.5900216, 2300,3.0,
7.620022, 2300,4.0,
7.650022, 2300,3.0,
7.6800222, 2300,4.0,
7.7100224, 2300,3.0,
7.7400227, 2300,3.0,
7.770023, 2300,3.0,
7.800023, 2300,3.0,
7.8300233, 2300,3.0,
7.8600235, 2400,4.0,
7.8900237, 2400,4.0,
7.920024, 2400,4.0,
7.950024, 2400,4.0,
7.9800243, 2400,3.0,
8.010024, 2400,3.0,
8.040024, 2400,4.0,
8.070024, 2400,3.0,
8.100023, 2400,4.0,
8.130023, 2400,4.0,
8.160023, 2400,3.0,
8.190022, 2400,3.0,
8.220022, 2400,4.0,
8.250022, 2400,4.0,
8.280022, 2400,3.0,
8.310021, 2400,4.0,
8.340021, 2400,4.0,
8.370021, 2400,4.0,
8.400021, 2500,8.0,
8.43002, 2500,5.0,
8.46002, 2500,4.0,
8.49002, 2500,3.0,
8.52002, 2500,4.0,
8.550019, 2500,4.0,
8.580019, 2500,4.0,
8.610019, 2500,3.0,
8.640018, 2500,4.0,
8.670018, 2500,4.0,
8.700018, 2500,4.0,
8.730018, 2500,5.0,
8.760017, 2500,4.0,
8.790017, 2500,4.0,
8.820017, 2500,5.0,
8.850017, 2600,4.0,
8.880016, 2600,4.0,
8.910016, 2600,3.0,
8.940016, 2600,5.0,
8.970016, 2600,4.0,
9.000015, 2600,4.0,
9.030015, 2600,5.0,
9.060015, 2600,4.0,
9.090014, 2600,3.0,
9.120014, 2600,4.0,
9.150014, 2600,5.0,
9.180014, 2600,4.0,
9.210013, 2600,4.0,
9.240013, 2600,4.0,
9.270013, 2600,4.0,
9.300013, 2600,4.0,
9.330012, 2600,3.0,
9.360012, 2700,5.0,
9.390012, 2700,4.0,
9.4200115, 2700,4.0,
9.450011, 2700,4.0,
9.480011, 2700,5.0,
9.510011, 2700,4.0,
9.54001, 2700,4.0,
9.57001, 2700,5.0,
9.60001, 2700,4.0,
9.63001, 2700,4.0,
9.660009, 2700,4.0,
9.690009, 2700,4.0,
9.720009, 2700,7.0,
9.750009, 2800,4.0,
9.780008, 2800,4.0,
9.810008, 2800,4.0,
9.840008, 2800,4.0,
9.8700075, 2800,5.0,
9.900007, 2800,4.0,
9.930007, 2800,4.0,
9.960007, 2800,4.0,
9.990006, 2800,4.0,
10.020006, 2800,5.0,
10.050006, 2800,4.0,
10.080006, 2800,4.0,
10.110005, 2800,4.0,
10.140005, 2800,5.0,
10.170005, 2900,4.0,
10.200005, 2900,4.0,
10.230004, 2900,4.0,
10.260004, 2900,4.0,
10.290004, 2900,5.0,
10.3200035, 2900,4.0,
10.350003, 2900,4.0,
10.380003, 2900,4.0,
10.410003, 2900,5.0,
10.440002, 2900,5.0,
10.470002, 2900,5.0,
10.500002, 2900,5.0,
10.530002, 2900,4.0,
10.560001, 2900,4.0,
10.590001, 3000,4.0,
10.620001, 3000,5.0,
10.650001, 3000,5.0,
10.68, 3000,5.0,
10.71, 3000,4.0,
10.74, 3000,4.0,
10.7699995, 3000,5.0,
10.799999, 3000,5.0,
10.829999, 3000,5.0,
10.859999, 3000,5.0,
10.889998, 3000,4.0,
10.919998, 3000,5.0,
10.949998, 3000,7.0,
10.979998, 3000,5.0,
11.009997, 3100,5.0,
11.039997, 3100,5.0,
11.069997, 3100,5.0,
11.099997, 3100,4.0,
11.129996, 3100,3.0,
11.159996, 3100,4.0,
11.189996, 3100,5.0,
11.2199955, 3100,5.0,
11.249995, 3100,5.0,
11.279995, 3100,5.0,
11.309995, 3100,5.0,
11.339994, 3200,5.0,
11.369994, 3200,6.0,
11.399994, 3200,5.0,
11.429994, 3200,5.0,
11.459993, 3200,5.0,
11.489993, 3200,4.0,
11.519993, 3200,5.0,
11.549993, 3200,6.0,
11.579992, 3200,6.0,
11.609992, 3200,4.0,
11.639992, 3200,4.0,
11.6699915, 3200,5.0,
11.699991, 3200,5.0,
11.729991, 3200,5.0,
11.759991, 3300,6.0,
11.78999, 3300,5.0,
11.81999, 3300,5.0,
11.84999, 3300,5.0,
11.87999, 3300,5.0,
11.909989, 3300,5.0,
11.939989, 3300,4.0,
11.969989, 3300,3.0,
11.999989, 3300,4.0,
12.029988, 3300,8.0,
12.059988, 3300,5.0,
12.089988, 3300,5.0,
12.1199875, 3400,6.0,
12.149987, 3400,6.0,
12.179987, 3400,6.0,
12.209987, 3400,6.0,
12.239986, 3400,6.0,
12.269986, 3400,6.0,
12.299986, 3400,5.0,
12.329986, 3400,5.0,
12.359985, 3400,5.0,
12.389985, 3400,5.0,
12.419985, 3400,5.0,
12.449985, 3500,5.0,
12.479984, 3500,5.0,
12.509984, 3500,6.0,
12.539984, 3500,6.0,
12.5699835, 3500,6.0,
12.599983, 3500,6.0,
12.629983, 3500,5.0,
12.659983, 3500,5.0,
12.689982, 3500,6.0,
12.719982, 3500,6.0,
12.749982, 3500,6.0,
12.779982, 3600,5.0,
12.809981, 3600,6.0,
12.839981, 3600,6.0,
12.869981, 3600,6.0,
12.899981, 3600,5.0,
12.92998, 3600,6.0,
12.95998, 3600,6.0,
12.98998, 3600,6.0,
13.0199795, 3600,9.0,
13.049979, 3600,6.0,
13.079979, 3600,5.0,
13.109979, 3600,5.0,
13.139978, 3700,5.0,
13.169978, 3700,5.0,
13.199978, 3700,6.0,
13.229978, 3700,6.0,
13.259977, 3700,6.0,
13.289977, 3700,6.0,
13.319977, 3700,5.0,
13.349977, 3700,6.0,
13.379976, 3700,6.0,
13.409976, 3700,6.0,
13.439976, 3700,6.0,
13.469975, 3800,7.0,
13.499975, 3800,7.0,
13.529975, 3800,7.0,
13.559975, 3800,6.0,
13.589974, 3800,6.0,
13.619974, 3800,6.0,
13.649974, 3800,6.0,
13.679974, 3800,6.0,
13.709973, 3800,7.0,
13.739973, 3800,7.0,
13.769973, 3800,7.0,
13.799973, 3900,6.0,
13.829972, 3900,7.0,
13.859972, 3900,7.0,
13.889972, 3900,6.0,
13.919971, 3900,9.0,
13.949971, 3900,7.0,
13.979971, 3900,7.0,
14.009971, 3900,6.0,
14.03997, 3900,7.0,
14.06997, 4000,6.0,
14.09997, 4000,7.0,
14.12997, 4000,7.0,
14.159969, 4000,8.0,
14.189969, 4000,6.0,
14.219969, 4000,7.0,
14.249969, 4000,6.0,
14.279968, 4000,6.0,
14.309968, 4000,8.0,
14.339968, 4100,8.0,
14.369967, 4100,6.0,
14.399967, 4100,7.0,
14.429967, 4100,7.0,
14.459967, 4100,8.0,
14.489966, 4100,8.0,
14.519966, 4100,6.0,
14.549966, 4100,7.0,
14.579966, 4100,6.0,
14.609965, 4200,8.0,
14.639965, 4200,8.0,
14.669965, 4200,7.0,
14.699965, 4200,6.0,
14.729964, 4200,7.0,
14.759964, 4200,11.0,
14.789964, 4200,6.0,
14.819963, 4200,7.0,
14.849963, 4200,8.0,
14.879963, 4300,7.0,
14.909963, 4300,7.0,
14.939962, 4300,7.0,
14.969962, 4300,8.0,
14.999962, 4300,6.0,
15.029962, 4300,7.0,
15.059961, 4300,8.0,
15.089961, 4300,8.0,
15.119961, 4400,7.0,
15.1499605, 4400,7.0,
15.17996, 4400,8.0,
15.20996, 4400,7.0,
15.23996, 4400,7.0,
15.269959, 4400,7.0,
15.299959, 4400,8.0,
15.329959, 4400,7.0,
15.359959, 4500,8.0,
15.389958, 4500,9.0,
15.419958, 4500,7.0,
15.449958, 4500,7.0,
15.479958, 4500,9.0,
15.509957, 4500,7.0,
15.539957, 4500,11.0,
15.569957, 4500,7.0,
15.5999565, 4600,7.0,
15.629956, 4600,8.0,
15.659956, 4600,9.0,
15.689956, 4600,8.0,
15.719955, 4600,7.0,
15.749955, 4600,8.0,
15.779955, 4600,8.0,
15.809955, 4600,7.0,
15.839954, 4700,9.0,
15.869954, 4700,7.0,
15.899954, 4700,9.0,
15.929954, 4700,9.0,
15.959953, 4700,8.0,
15.989953, 4700,11.0,
16.019953, 4700,8.0,
16.049953, 4700,9.0,
16.079954, 4800,8.0,
16.109955, 4800,10.0,
16.139956, 4800,9.0,
16.169956, 4800,8.0,
16.199957, 4800,10.0,
16.229958, 4800,8.0,
16.259958, 4800,12.0,
16.289959, 4900,8.0,
16.31996, 4900,9.0,
16.34996, 4900,9.0,
16.379961, 4900,9.0,
16.409962, 4900,9.0,
16.439962, 4900,9.0,
16.469963, 4900,9.0,
16.499964, 4900,8.0,
16.529964, 5000,9.0,
16.559965, 5000,9.0,
16.589966, 5000,10.0,
16.619967, 5000,8.0,
16.649967, 5000,10.0,
16.679968, 5000,9.0,
16.709969, 5000,10.0,
16.73997, 5000,9.0,
16.76997, 5100,10.0,
16.79997, 5100,9.0,
16.829971, 5100,10.0,
16.859972, 5100,10.0,
16.889973, 5100,10.0,
16.919973, 5100,10.0,
16.949974, 5100,13.0,
16.979975, 5200,10.0,
17.009975, 5200,9.0,
17.039976, 5200,9.0,
17.069977, 5200,11.0,
17.099977, 5200,10.0,
17.129978, 5200,10.0,
17.159979, 5200,9.0,
17.18998, 5300,11.0,
17.21998, 5300,10.0,
17.24998, 5300,10.0,
17.279982, 5300,9.0,
17.309982, 5300,10.0,
17.339983, 5300,11.0,
17.369984, 5300,10.0,
17.399984, 5400,11.0,
17.429985, 5400,10.0,
17.459986, 5400,11.0,
17.489986, 5400,10.0,
17.519987, 5400,10.0,
17.549988, 5400,10.0,
17.579988, 5500,16.0,
17.60999, 5500,9.0,
17.63999, 5500,11.0,
17.66999, 5500,10.0,
17.699991, 5500,9.0,
17.729992, 5500,11.0,
17.759993, 5500,10.0,
17.789993, 5600,10.0,
17.819994, 5600,11.0,
17.849995, 5600,10.0,
17.879995, 5600,10.0,
17.909996, 5600,11.0,
17.939997, 5600,9.0,
17.969997, 5600,11.0,
17.999998, 5700,11.0,
18.029999, 5700,10.0,
18.06, 5700,11.0,
18.09, 5700,10.0,
18.12, 5700,10.0,
18.150002, 5700,10.0,
18.180002, 5700,11.0,
18.210003, 5800,11.0,
18.240004, 5800,12.0,
18.270004, 5800,12.0,
18.300005, 5800,12.0,
18.330006, 5800,10.0,
18.360006, 5800,11.0,
18.390007, 5900,12.0,
18.420008, 5900,12.0,
18.450008, 5900,11.0,
18.48001, 5900,12.0,
18.51001, 5900,12.0,
18.54001, 5900,12.0,
18.570011, 6000,12.0,
18.600012, 6000,11.0,
18.630013, 6000,12.0,
18.660013, 6000,12.0,
18.690014, 6000,11.0,
18.720015, 6000,11.0,
