 n,col2
 1000,4.3428571428571425
 1100,3.5166666666666664
 1200,3.01
 1400,4.27
 1600,7
 1700,5.05
 1800,5.291666666666667
 1900,4.523809523809524
 2000,4.882352941176471
 2100,6.1875
 2200,5.222222222222222
 2300,5.5625
 2400,6.6
 2500,6.6923076923076925
 2600,6.923076923076923
 2700,6.916666666666667
 2800,11.666666666666666
 2900,11.8
 3000,7.5
 3100,7.928571428571429
 3200,7.818181818181818
 3300,8.363636363636363
 3400,9.454545454545455
 3500,8.6
 3600,9.7
 3700,9.909090909090908
 3800,9.3
 3900,10.1
 4000,11.6
 4100,11.083333333333334
 4200,12.444444444444445
 4300,12.777777777777779
 4400,14.125
 4500,13.125
 4600,14.125
 4700,14.25
 4800,15.571428571428571
 4900,15.125
 5000,15.5
 5100,15.428571428571429
 5200,17.833333333333332
 5300,16.857142857142858
 5400,18
 5500,17.5
 5600,18
 5700,19.333333333333332
 5800,19.666666666666668
 5900,21.666666666666668
 6000,21.142857142857142
 6100,23.2
 6200,21.5
 6300,24.6
 6400,22.77777777777778
 6500,23.8
 6600,24.5
 6700,25.2
 6800,25.4
 6900,26.8
 7000,28.5
 7100,28.2
 7200,28.8
 7300,30
 7400,31.6
 7500,32.6
 7600,34.4
 7700,33
 7800,34.75
 7900,36.6
 8000,37.333333333333336
 8100,39.5
 8200,40.666666666666664
 8300,45.666666666666664
 8400,47
 8500,45.333333333333336
 8600,42
 8700,46
 8800,45.333333333333336
 8900,47.666666666666664
 9000,48
 9100,49.333333333333336
 9200,49
 9300,50.333333333333336
 9400,51.666666666666664
 9500,70
 9600,53.666666666666664
 9700,54.5
 9800,53.666666666666664
 9900,59.8
 10000,63.6
