 n,col2
 1000,32.333333333333336
 1088,13.25
 1188,13.9
 1288,19.333333333333332
 1388,18.9
 1488,19.75
 1578,18
 1580,28
 1581,22
 1582,18
 1588,19.25
 1678,22.555555555555557
 1776,20.75
 1778,22.4
 1876,25.789473684210527
 1976,24.428571428571427
 2076,26.142857142857142
 2176,28.166666666666668
 2276,28.875
 2376,35
 2476,33.22222222222222
 2576,33.5
 2676,36.4
 2776,45.5
 2876,42
 2976,47
 3076,46.75
 3176,51.8
 3276,52.833333333333336
 3376,52.333333333333336
 3476,59.75
 3576,64.66666666666667
 3676,69.66666666666667
 3776,77
 3875,82.5
 3974,87
 3975,96.5
 4074,94
 4174,106.5
 4274,109
 4374,117
 4470,144
 4549,126
 4559,129
 4643,135
 4731,141
 4738,149
 4822,145
 4916,146
 4989,154
 4997,148
 5083,162
 5180,157
 5181,162
 5280,165
 5380,168
 5479,178
 5579,178
 5679,184
 5779,183
 5879,192.5
 5979,194
 6079,208
 6179,208.5
 6279,211
 6379,210.5
 6479,218
 6579,219
 6679,241
 6779,230.5
 6879,234
 6979,255
 7079,260
 7179,263
 7379,284
 7479,315
 7579,318
 7685,338
 7751,356
 7774,329
 7779,326
 7792,346
 7823,317
 7845,316
 7847,334
 7876,353
 7881,380
 7944,354
 7962,348
 8013,358
 8020,391
 8067,387
 8078,362
 8136,380.5
 8149,358
 8210,361
 8237,406
 8246,403
 8270,368
 8335,353
 8399,358
 8466,382
 8526,382
 8591,392
 8671,381
 8761,388
 8852,389
 9050,410
 9146,451
 9346,438
 9645,486
 9845,502
 10045,503
 10245,522
 10545,601
 10745,633
 10945,670.5
