 n,col2
 1000,5.648648648648648
 1100,5.454545454545454
 1400,7.5
 1500,10.25
 1600,5.972972972972973
 1700,5.023255813953488
 1800,5.078947368421052
 1900,5.138888888888889
 2000,6.689655172413793
 2100,5.5625
 2200,6.068965517241379
 2300,6.290322580645161
 2400,7.419354838709677
 2500,7.88
 2600,7.304347826086956
 2700,8.545454545454545
 2800,8.105263157894736
 2900,8.5
 3000,8.714285714285714
 3100,9.380952380952381
 3200,9.352941176470589
 3300,10.235294117647058
 3400,11.11111111111111
 3500,11.142857142857142
 3600,12
 3700,11.652173913043478
 3800,12.714285714285714
 3900,13
 4000,12.75
 4100,14.090909090909092
 4200,15.3
 4300,15.5
 4400,14.88888888888889
 4500,16.166666666666668
 4600,16.1
 4700,16.181818181818183
 4800,17.23076923076923
 4900,17.11111111111111
 5000,16.666666666666668
 5100,19.5
 5200,19.77777777777778
 5300,20.75
 5400,20.125
 5500,22.428571428571427
 5600,24.666666666666668
 5700,23.833333333333332
 5800,23.714285714285715
 5900,26.142857142857142
 6000,27.833333333333332
 6100,30.857142857142858
 6200,28.5
 6300,28.6
 6400,28.5
 6500,31
 6600,32
 6700,30.833333333333332
 6800,32.5
 6900,32.333333333333336
 7000,34.4
 7100,34.333333333333336
 7200,35
 7300,38.5
 7400,36.333333333333336
 7500,40
 7600,39.6
 7700,42
 7800,45
 7900,43.75
 8000,48.333333333333336
 8100,47
 8200,48
 8300,47.5
 8400,48
 8500,49
 8600,52.333333333333336
 8700,53.75
 8800,52.333333333333336
 8900,54.666666666666664
 9000,53.666666666666664
 9100,58
 9200,61.75
 9300,59.333333333333336
 9400,66
 9500,64.33333333333333
 9600,64.66666666666667
 9700,64.33333333333333
 9800,65.66666666666667
 9900,73.83333333333333
 10000,75
