 n,col2
 1000,3.5
 1100,3.28
 1200,2.409090909090909
 1300,2.789473684210526
 1400,3.263157894736842
 1500,2.888888888888889
 1600,3.272727272727273
 1700,3.4285714285714284
 1800,4.045454545454546
 1900,4.157894736842105
 2000,4.277777777777778
 2100,4.333333333333333
 2200,4.588235294117647
 2300,5.25
 2400,5.6
 2500,6.0625
 2600,6.333333333333333
 2700,6.846153846153846
 2800,7.818181818181818
 2900,7.666666666666667
 3000,7.545454545454546
 3100,8.153846153846153
 3200,8.083333333333334
 3300,8.666666666666666
 3400,8.8
 3500,9.2
 3600,10.2
 3700,10
 3800,10.75
 3900,11
 4000,11.375
 4100,11.875
 4200,12.25
 4300,12.75
 4400,13
 4500,13.375
 4600,14.625
 4700,14.333333333333334
 4800,15.142857142857142
 4900,15.714285714285714
 5000,16
 5100,16.428571428571427
 5200,17
 5300,17.714285714285715
 5400,18.166666666666668
 5500,19.166666666666668
 5600,19.25
 5700,19.833333333333332
 5800,21
 5900,22.4
 6000,22.6
 6100,23
 6200,27
 6300,24.6
 6400,25.75
 6500,25.6
 6600,25.8
 6700,26.75
 6800,29
 6900,30.75
 7000,30.5
 7100,29.75
 7200,31.5
 7300,32.25
 7400,33.25
 7500,33.5
 7600,33.666666666666664
 7700,36.5
 7800,36.666666666666664
 7900,36.75
 8000,38.666666666666664
 8100,38.75
 8200,39.333333333333336
 8300,40
 8400,40.666666666666664
 8500,42.333333333333336
 8600,43.666666666666664
 8700,44.333333333333336
 8800,46.333333333333336
 8900,46.333333333333336
 9000,46.5
 9100,47.25
 9200,48.5
 9300,49.666666666666664
 9400,50
 9500,50.666666666666664
 9600,51.333333333333336
 9700,53
 9800,53
