 n,col2
 1000,3
 1100,2.380952380952381
 1200,2.611111111111111
 1300,2.3125
 1400,2.588235294117647
 1500,2.526315789473684
 1600,2.2941176470588234
 1700,2.6470588235294117
 1800,2.7058823529411766
 1900,3
 2000,2.764705882352941
 2100,3
 2200,3.5
 2300,3.2777777777777777
 2400,3.6666666666666665
 2500,4.333333333333333
 2600,4
 2700,4.461538461538462
 2800,4.214285714285714
 2900,4.357142857142857
 3000,4.857142857142857
 3100,4.636363636363637
 3200,5
 3300,5
 3400,5.545454545454546
 3500,5.636363636363637
 3600,5.916666666666667
 3700,5.7272727272727275
 3800,6.545454545454546
 3900,6.888888888888889
 4000,6.777777777777778
 4100,7
 4200,7.555555555555555
 4300,7.25
 4400,7.25
 4500,8.125
 4600,7.75
 4700,8.75
 4800,9.285714285714286
 4900,8.75
 5000,9.25
 5100,10.285714285714286
 5200,9.714285714285714
 5300,10.142857142857142
 5400,10.333333333333334
 5500,10.857142857142858
 5600,10.285714285714286
 5700,10.428571428571429
 5800,11.333333333333334
 5900,11.833333333333334
 6000,11.5
 6100,12.5
 6200,12.5
 6300,13.5
 6400,13.636363636363637
 6500,13.333333333333334
 6600,13.5
 6700,13.666666666666666
 6800,14
 6900,14.6
 7000,14.666666666666666
 7100,15.166666666666666
 7200,15.4
 7300,15.4
 7400,16
 7500,17.6
 7600,16.6
 7700,17.75
 7800,17.8
 7900,17.6
 8000,18.5
 8100,18.8
 8200,18.6
 8300,19.2
 8400,19.5
 8500,19.8
 8600,20.25
 8700,20.75
 8800,23
 8900,21.75
 9000,21.25
 9100,22.4
 9200,21.75
 9300,23
 9400,23.75
 9500,23.666666666666668
 9600,23.5
 9700,24.25
 9800,24.5
 9900,24.666666666666668
10000,25.39426523297491
