 n,col2
 1000,7.804878048780488
 1100,6
 1200,6
 1300,9.8
 1400,8.6
 1500,10.461538461538462
 1600,9.294117647058824
 1700,9.833333333333334
 1800,10.866666666666667
 1900,12.285714285714286
 2000,14.166666666666666
 2100,17
 2200,18.5
 2300,20.285714285714285
 2400,22.22222222222222
 2500,23.375
 2600,26
 2700,26.333333333333332
 2800,28.714285714285715
 2900,30.8
 3000,31.4
 3100,32.5
 3200,33.666666666666664
 3300,36.333333333333336
 3400,39
 3500,40.25
 3600,43
 3700,44
 3800,47.25
 3900,48.25
 4000,51
 4100,55.666666666666664
 4200,59
 4300,61.333333333333336
 4400,65.2
 4500,68.5
 4600,71.5
 4700,75.33333333333333
 4800,77.33333333333333
 4900,81.5
 5000,85.66666666666667
 5100,89.5
 5200,95
 5300,98
 5400,104.5
 5500,105.5
 5600,118.5
 5699,115.66666666666667
 5799,118
 5899,142
 5999,133.5
 6099,137.5
 6199,137
 6299,128.33333333333334
 6399,137
 6499,150
 6599,149
 6699,149
 6799,147
 6899,155.5
 6999,159
 7099,186.5
 7199,181
 7299,205
 7399,222
 7499,224
 7599,233
 7699,237
 7799,244
 7899,241.5
 7999,255
 8099,260
 8199,257
 8299,285
 8399,277
 8499,282.5
 8599,295
 8699,303
 8799,318
 8899,344
 8999,329
 9099,334
 9199,341
 9299,356
 9399,354
 9599,366.5
 9799,375
 9899,405
 9999,413
 10095,483.6666666666667
