 n,col2
 1000,5
 1100,5.5
 1200, 5.666666666666667
 1300, 5.857142857142857
 1400,4.857142857142857
 1500,4.666666666666667
 1600,5.409090909090909
 1700,5
 1800,5.96875
 1900,5.7894736842105265
 2000,5.7368421052631575
 2100,5.944444444444445
 2200,6.5625
 2300,7
 2400,7.5625
 2500,8.166666666666666
 2600,8.73913043478261
 2700,9.25
 2800,9.5
 2900,9.928571428571429
 3000,11
 3100,11.615384615384615
 3200,12.076923076923077
 3300,12.666666666666666
 3400,13.222222222222221
 3500,13.7
 3600,14.2
 3700,14.625
 3800,15.88888888888889
 3900,16.375
 4000,16.444444444444443
 4100,17.428571428571427
 4200,18.142857142857142
 4300,18.625
 4400,20
 4500,19.857142857142858
 4600,21.77777777777778
 4700,22.857142857142858
 4800,23
 4900,24.166666666666668
 5000,25.142857142857142
 5100,26.333333333333332
 5200,28.571428571428573
 5300,29.285714285714285
 5400,31.2
 5500,32.8
 5600,33.833333333333336
 5700,34.833333333333336
 5800,36
 5900,37.5
 6000,38.6
 6100,39
 6200,39.5
 6300,40.25
 6400,42.25
 6500,41.666666666666664
 6600,43.25
 6700,44.25
 6800,45.25
 6900,48.666666666666664
 7000,48.5
 7100,49.333333333333336
 7200,51.75
 7300,52
 7400,54
 7500,54.75
 7600,54
 7700,58.333333333333336
 7800,58.666666666666664
 7900,59.333333333333336
 8000,58.5
 8100,60.75
 8200,63.333333333333336
 8300,65.66666666666667
 8400,66.66666666666667
 8500,69
 8600,73.8
 8700,81.33333333333333
 8800,83.5
 8900,86.5
 9000,95.5
 9100,94.5
 9200,88.5
 9300,93
 9400,95.5
 9500,98.5
 9600,112
 9700,108
 9800,103
 9900,108.8
 10000,111.5
