t, E, sx, sy, vx, vy, ax, ay
0.02, 1.66253104E8, 500.0, 353.26767, 0.0, 4834.7505,0.0, 206071.89
0.039999995, 8.475884E7, 500.0, 465.53317, 0.0, 5612.49,0.0, -20328.703
0.05999999, 8.3870464E7, 500.0, 569.1185, 0.0, 4900.5166,0.0, -29029.682
0.08, 1.08918728E8, 500.0, 641.3045, 0.0, 1912.4791,0.0, -181565.1
0.10000001, 1.07207216E8, 500.0, 639.7036, 0.0, -1955.8596,0.0, -186034.88
0.12000002, 6.7243984E7, 500.0, 576.33167, 0.0, -3900.2092,0.0, -61239.96
0.14, 2.057459E7, 500.0, 504.12967, 0.0, -2860.92,0.0, 87439.016
0.15999998, 4.1667776E7, 500.0, 441.48865, 0.0, -3134.5122,0.0, 11036.401
0.17999996, 6.067898E7, 500.0, 393.9992, 0.0, -1342.8328,0.0, 111038.54
0.19999994, 6.1192656E7, 500.0, 392.24704, 0.0, 1112.2349,0.0, 119495.914
0.21999992, 3.8916468E7, 500.0, 430.68124, 0.0, 2435.4517,0.0, 44096.863
0.2399999, 1.1559927E7, 500.0, 476.79126, 0.0, 1879.4347,0.0, -50638.273
0.2599999, 82748.36, 500.0, 497.5669, 0.0, 106.393555,0.0, -96361.336
0.27999988, 7032436.0, 500.0, 482.39188, 0.0, -1478.056,0.0, -68710.94
0.29999986, 2.2171678E7, 500.0, 447.0717, 0.0, -1806.4856,0.0, 2350.5
0.31999984, 3.4567796E7, 500.0, 419.00128, 0.0, -837.55554,0.0, 61280.7
0.33999982, 3.5688812E7, 500.0, 416.5134, 0.0, 567.11194,0.0, 69135.67
0.3599998, 2.4254096E7, 500.0, 437.54562, 0.0, 1372.0643,0.0, 28036.582
0.3799998, 9563966.0, 500.0, 464.0813, 0.0, 1109.5137,0.0, -26367.504
0.39999977, 2715982.0, 500.0, 476.9628, 0.0, 118.78678,0.0, -54500.387
0.41999975, 6363145.0, 500.0, 469.30423, 0.0, -807.57983,0.0, -40798.57
0.43999973, 1.5496236E7, 500.0, 449.43652, 0.0, -1038.7166,0.0, -918.8922
0.4599997, 2.3201052E7, 500.0, 432.89914, 0.0, -517.62823,0.0, 33699.88
0.4799997, 2.4291914E7, 500.0, 430.6318, 0.0, 284.24768,0.0, 39904.016
0.49999967, 1.828933E7, 500.0, 442.0921, 0.0, 771.06946,0.0, 17605.668
0.5199997, 1.0203248E7, 500.0, 457.32797, 0.0, 652.88446,0.0, -13566.338
0.53999966, 6091360.5, 500.0, 465.24893, 0.0, 100.84241,0.0, -30751.418
0.55999964, 7932194.0, 500.0, 461.46082, 0.0, -439.29297,0.0, -24137.639
0.5799996, 1.3252046E7, 500.0, 450.31345, 0.0, -595.8939,0.0, -1815.752
