t, E, sx, sy, vx, vy, ax, ay
0.004, 2.09013728E8, 500.0, 312.00015, 0.0, 3000.0393,0.0, 750009.8
0.008, 2.09911216E8, 500.0, 335.04047, 0.0, 5760.0757,0.0, 690009.06
0.012, 2.01023056E8, 500.0, 367.27768, 0.0, 8059.3057,0.0, 574807.5
0.016, 1.8244544E8, 500.0, 406.13284, 0.0, 9713.791,0.0, 413621.4
0.020000001, 1.56238976E8, 500.0, 448.49753, 0.0, 10591.174,0.0, 219345.58
0.024000002, 1.2608372E8, 500.0, 490.98257, 0.0, 10621.263,0.0, 7522.16
0.028000003, 9.6488128E7, 500.0, 530.1892, 0.0, 9801.65,0.0, -204903.08
0.032, 1.08562624E8, 500.0, 570.98083, 0.0, 10197.905,0.0, 99063.76
0.036000002, 1.20814736E8, 500.0, 610.0942, 0.0, 9778.328,0.0, -104894.37
0.040000003, 1.34166672E8, 500.0, 644.4001, 0.0, 8576.483,0.0, -300461.06
0.044000003, 1.4899968E8, 500.0, 671.1542, 0.0, 6688.5205,0.0, -471990.62
0.048000004, 1.64669152E8, 500.0, 688.21606, 0.0, 4265.476,0.0, -605761.06
0.052000005, 1.79386016E8, 500.0, 694.2208, 0.0, 1501.1938,0.0, -691070.5
0.056000005, 1.90527952E8, 500.0, 688.6881, 0.0, -1383.1836,0.0, -721094.3
0.060000006, 1.9530232E8, 500.0, 672.0605, 0.0, -4156.9067,0.0, -693430.75
0.064, 1.91565616E8, 500.0, 645.66815, 0.0, -6598.077,0.0, -610292.6
0.068, 1.78547616E8, 500.0, 611.62256, 0.0, -8511.401,0.0, -478330.94
0.072000004, 1.57248256E8, 500.0, 572.6473, 0.0, -9743.813,0.0, -308102.97
0.076000005, 1.30370408E8, 500.0, 531.8604, 0.0, -10196.72,0.0, -113226.586
0.080000006, 1.01790744E8, 500.0, 492.52484, 0.0, -9833.889,0.0, 90707.74
0.08400001, 1.1444544E8, 500.0, 449.78745, 0.0, -10684.347,0.0, -212614.4
0.08800001, 1.26681736E8, 500.0, 407.0672, 0.0, -10680.057,0.0, 1072.5757
0.09200001, 1.39654048E8, 500.0, 367.78174, 0.0, -9821.361,0.0, 214673.8
0.09600001, 1.54284E8, 500.0, 335.0739, 0.0, -8176.957,0.0, 411101.12
0.10000001, 1.70572112E8, 500.0, 311.56033, 0.0, -5878.396,0.0, 574640.25
0.10400001, 1.87230656E8, 500.0, 299.12207, 0.0, -3109.5635,0.0, 692208.1
0.10800001, 2.0178192E8, 500.0, 298.7542, 0.0, -91.965576,0.0, 754399.44
0.11200001, 2.11115264E8, 500.0, 310.48618, 0.0, 2932.9895,0.0, 756238.75
0.11600001, 2.12346736E8, 500.0, 333.3794, 0.0, 5723.3057,0.0, 697578.94
0.12000001, 2.03719776E8, 500.0, 365.60242, 0.0, 8055.757,0.0, 583112.8
0.12400001, 1.85265856E8, 500.0, 404.57742, 0.0, 9743.748,0.0, 421997.72
0.128, 1.59008384E8, 500.0, 447.18637, 0.0, 10652.239,0.0, 227122.69
