t, E, sx, sy, vx, vy, ax, ay
0.005, 2.05659296E8, 500.0, 307.50024, 0.0, 1500.0491,0.0, 300009.8
0.01, 2.0583592E8, 500.0, 321.8257, 0.0, 2865.0938,0.0, 273008.9
0.015, 1.99410864E8, 500.0, 341.98712, 0.0, 4032.2817,0.0, 233437.62
0.02, 1.86156544E8, 500.0, 366.74295, 0.0, 4951.168,0.0, 183777.3
0.024999999, 1.66818112E8, 500.0, 394.67166, 0.0, 5585.7407,0.0, 126914.55
0.029999997, 1.42985616E8, 500.0, 424.24988, 0.0, 5915.6436,0.0, 65980.55
0.034999996, 1.16824272E8, 500.0, 453.9327, 0.0, 5936.568,0.0, 4184.8936
0.039999995, 9.0720464E7, 500.0, 482.23184, 0.0, 5659.827,0.0, -55348.164
0.044999994, 6.6912664E7, 500.0, 507.78766, 0.0, 5111.1646,0.0, -109732.5
0.049999993, 7.1318728E7, 500.0, 534.4321, 0.0, 5328.89,0.0, 43545.164
0.054999992, 7.5420168E7, 500.0, 560.7894, 0.0, 5271.4624,0.0, -11485.578
0.05999999, 7.9821632E7, 500.0, 585.5532, 0.0, 4952.759,0.0, -63740.758
0.06499999, 8.499764E7, 500.0, 607.5491, 0.0, 4399.165,0.0, -110718.71
0.06999999, 9.1117672E7, 500.0, 625.78784, 0.0, 3647.7568,0.0, -150281.67
0.074999996, 9.7954648E7, 500.0, 639.50793, 0.0, 2744.017,0.0, -180747.95
0.08, 1.04891824E8, 500.0, 648.20404, 0.0, 1739.2261,0.0, -200958.22
0.085, 1.11021464E8, 500.0, 651.6424, 0.0, 687.66565,0.0, -210312.08
0.09, 1.15311464E8, 500.0, 649.8613, 0.0, -356.21594,0.0, -208776.31
0.095000006, 1.16802136E8, 500.0, 643.1587, 0.0, -1340.5315,0.0, -196863.12
0.10000001, 1.14793856E8, 500.0, 632.06647, 0.0, -2218.4482,0.0, -175583.34
0.10500001, 1.08987568E8, 500.0, 617.3148, 0.0, -2950.326,0.0, -146375.55
0.110000014, 9.9553232E7, 500.0, 599.7878, 0.0, -3505.412,0.0, -111017.23
0.11500002, 8.7115968E7, 500.0, 580.47266, 0.0, -3863.0244,0.0, -71522.46
0.12000002, 7.266484E7, 500.0, 560.40674, 0.0, -4013.181,0.0, -30031.318
0.12500001, 5.740552E7, 500.0, 540.62335, 0.0, -3956.672,0.0, 11301.771
