 n,col2
 1000,24.8
 1096,13.636363636363637
 1196,17.7
 1295,25
 1296,17.5
 1394,19.666666666666668
 1395,23
 1491,21
 1492,23
 1493,21
 1494,22.5
 1591,31.666666666666668
 1691,26.857142857142858
 1791,30.375
 1887,34
 1889,34
 1891,33.75
 1985,35
 1986,37.5
 1987,37.5
 2083,40.333333333333336
 2084,40
 2085,39
 2183,43
 2283,46
 2383,48.833333333333336
 2483,51.25
 2583,54.333333333333336
 2683,58
 2783,61
 2883,66.5
 2983,69.66666666666667
 3083,69
 3183,71
 3283,74
 3383,77
 3483,78.66666666666667
 3583,82.66666666666667
 3683,85.33333333333333
 3783,90.5
 3883,93.66666666666667
 3983,100
 4083,105
 4183,112
 4283,117
 4383,122
 4483,127
 4583,132
 4683,139
 4783,144.5
 4883,151
 4983,156.5
 5083,165
 5183,172
 5283,180
 5383,175.5
 5483,182
 5583,204.66666666666666
 5683,205
 5783,220
 5883,219
 5983,228
 6083,237
 6183,246.5
 6282,257
 6382,266
 6479,279
 6675,300
 6769,307
 6861,315
 7051,337
 7126,343
 7192,345
 7242,356
 7427,345
 7512,357
 7604,396
 7693,405
 7788,420
 7887,427
 7980,453
 8170,493
 8262,482
 8456,502
 8648,528
 8725,542
 8892,666
 9075,700
 9455,965
 9638,972
 9929,1083
 10059,1295
