 n,col2
 1000,12.277777777777779
 1100,7.304347826086956
 1200, 7.5
 1300, 7.5
 1500,  7.5
 1700, 7.5
 1800,9.5
 1900,7.5
 2000,7.666666666666667
 2100,7.111111111111111
 2200,8.333333333333334
 2300,8.083333333333334
 2400,8.083333333333334
 2500,8.117647058823529
 2600,9
 2700,8.666666666666666
 2800,9
 2900,10.2
 3000,11.625
 3100,11
 3200,11.666666666666666
 3300,11.5625
 3400,12.3
 3500,13.333333333333334
 3600,13.875
 3700,14.444444444444445
 3800,15.714285714285714
 3900,16.571428571428573
 4000,17.428571428571427
 4100,18
 4200,18.5
 4300,20.142857142857142
 4400,26.25
 4500,21.571428571428573
 4600,22.4
 4700,25.333333333333332
 4800,25.076923076923077
 4900,27.6
 5000,24.625
 5100,26.166666666666668
 5200,27.4
 5300,33.5
 5400,27.8
 5500,29.25
 5600,30
 5700,31.4
 5800,31.5
 5900,33.75
 6000,34.25
 6100,38
 6200,36.75
 6300,37.75
 6400,40.5
 6500,41.5
 6600,43.666666666666664
 6700,44.25
 6800,44.75
 6900,48
 7000,49.333333333333336
 7100,55.333333333333336
 7200,51.666666666666664
 7300,51.666666666666664
 7400,53.75
 7500,54.666666666666664
 7600,56
 7700,56
 7800,57.5
 7900,59.666666666666664
 8000,60.5
 8100,62.666666666666664
 8200,64
 8300,68
 8400,78.5
 8500,70.5
 8600,72.66666666666667
 8700,74
 8800,74.5
 8900,77.66666666666667
 9000,78.5
 9100,83.5
 9200,87
 9300,88.5
 9400,90
 9500,90
 9600,97
 9700,97.5
 9800,95
 9900,100.5
 10000,110
