 n,col2
 1000,13.826086956521738
 1100,8.461538461538462
 1200,12.5
 1300,16
 1400,17.875
 1500,23
 1600,16.5
 1700,19.428571428571427
 1800,25.6
 1900,27.333333333333332
 2000,23.285714285714285
 2100,31.166666666666668
 2200,49.666666666666664
 2300,36
 2400,36.6
 2500,34
 2600,37.4
 2700,40
 2800,47.75
 2900,52
 3000,53
 3100,46.75
 3200,54
 3300,66.33333333333333
 3400,68.33333333333333
 3500,63
 3600,70.66666666666667
 3700,77.66666666666667
 3800,70.66666666666667
 3900,65
 4000,60
 4099,67.5
 4100,58
 4199,73.66666666666667
 4299,87
 4399, 99
 4499, 97
 4599, 99
 4699,87
 4799,96.5
 4899,92
 4999,107.5
 5099,102.5
 5199,105.5
 5299,125
 5399,131
 5499,143
 5599,157
 5699,177
 5799,161
 5899,168
 5999,174
 6099,158
 6199,162
 6299,163
 6399,182
 6499,186
 6599,191
 6799,203
 6899,216
 7099,242
 7199,233
 7299,262
 7399,246
 7499,277
 7599,263
 7699,254
 7799,256
 7999,274
 8099,287
 8199,331
 8399,338
 8499,351
 8599,308
 8699,332
 8899,341
 8998,425
 9198,452
 9298,450
 9498,467
 9598,434
 9698,503
 9998,485
