 n,col2
 1000,29.666666666666668
 1081,13
 1181,13
 1281,14
 1381,13.785714285714286
 1481,15.846153846153847
 1581,14.75
 1681,15.923076923076923
 1781,17.818181818181817
 1881,18.7
 1981,21.22222222222222
 2081,22.9
 2181,28
 2281,26
 2381,31
 2481,33
 2580,33
 2581,34
 2676,40
 2678,37
 2680,39
 2765,41
 2769,43
 2771,41
 2772,45.5
 2774,41
 2862,49
 2864,46
 2865,46.4
 2960,52
 2961,52
 2962,50.25
 3059,56.2
 3156,57.75
 3157,58
 3246,61
 3247,62
 3254,61
 3256,62.5
 3344,71
 3345,69
 3430,71
 3433,71
 3440,73
 3514,89
 3519,76
 3522,77
 3524,81
 3526,76
 3528,78
 3605,85
 3606,83
 3607,83
 3609,91
 3700,86
 3703,87
 3796,87
 3799,89
 3896,96.5
 3995,94
 4095,96.5
 4195,107
 4295,109.33333333333333
 4395,116
 4495,121.5
 4595,143
 4695,124
 4795,124
 4895,128
 4995,131
 5095,142
 5195,140
 5295,143
 5395,146.5
 5495,150
 5595,161.5
 5695,160
 5795,163
 5895,176
 5995,182
 6095,178.5
 6195,217
 6295,191
 6395,196
 6495,208
 6595,214.5
 6695,249
 6795,229
 6894,242
 6991,265
 7082,280
 7173,283
 7265,294
 7359,295
 7442,306
 7532,338
 7627,346
 7707,358
 7758,340
 7860,375
 7865,359
 7887,358
 8007,391
 8037,377
 8094,366
 8252,407
 8292,395
 8330,392
 8471,390
 8518,388
 8674,399
 8846,414
 8928,415
 9115,438
 9206,447
 9404,472
 9603,496
 9700,495
 9800,528
 10099,558
 10397,611
 10420,639
 10489,639
