t, n, Tsim, deviation, collisionCount
124.102974, 60,0.0,0,8
124.15298, 60,0.0,0,2
124.20298, 60,0.0,0,2
124.25298, 60,0.0,0,1
124.603004, 60,1.0,0,3
124.65301, 60,1.0,0,2
124.80302, 60,0.0,0,4
124.85302, 60,0.0,0,3
124.90302, 60,0.0,0,3
124.953026, 60,0.0,0,1
125.00303, 60,0.0,0,1
125.103035, 60,0.0,0,1
125.15304, 60,0.0,0,2
125.20304, 60,0.0,0,4
125.253044, 60,0.0,0,4
125.30305, 60,0.0,0,6
125.35305, 60,0.0,0,2
125.603065, 60,0.0,0,2
125.65307, 60,0.0,0,2
125.70307, 60,0.0,0,1
125.753075, 60,0.0,0,2
125.80308, 60,0.0,0,1
125.90308, 60,0.0,0,1
126.00309, 60,0.0,0,6
126.05309, 60,1.0,0,5
126.103096, 60,0.0,0,9
126.1531, 60,0.0,0,6
126.2031, 60,0.0,0,4
126.253105, 60,0.0,0,4
126.30311, 60,0.0,0,5
126.35311, 60,0.0,0,4
126.403114, 60,0.0,0,6
126.45312, 60,1.0,0,6
126.50312, 60,0.0,0,6
126.55312, 60,0.0,1,5
126.60313, 60,0.0,0,4
126.65313, 60,0.0,0,4
126.70313, 60,1.0,0,2
126.753136, 60,1.0,0,2
126.80314, 60,0.0,0,3
126.85314, 60,0.0,0,2
126.903145, 60,0.0,0,2
126.95315, 60,1.0,0,4
127.053154, 60,0.0,0,3
127.10316, 60,0.0,0,4
127.15316, 60,0.0,0,3
127.20316, 60,0.0,0,3
127.25317, 60,0.0,0,1
127.30317, 60,0.0,0,3
127.35317, 60,0.0,0,1
127.403175, 60,0.0,0,1
127.45318, 60,0.0,0,4
127.50318, 60,0.0,0,4
127.553185, 60,0.0,0,3
127.60319, 60,0.0,0,2
127.65319, 60,0.0,0,3
127.70319, 60,0.0,0,2
127.7532, 60,0.0,0,2
127.8032, 60,1.0,0,1
127.8532, 60,0.0,0,2
127.903206, 60,0.0,0,1
128.0032, 60,0.0,0,4
128.0532, 60,0.0,0,5
128.10321, 60,0.0,0,2
128.15321, 60,0.0,0,1
128.30322, 60,0.0,0,1
128.35323, 60,0.0,0,1
128.40323, 60,0.0,0,2
128.45323, 60,0.0,0,1
128.55324, 60,0.0,0,2
128.60324, 60,0.0,0,1
128.80325, 60,0.0,0,4
128.85326, 60,0.0,0,4
128.90326, 60,0.0,0,4
128.95326, 60,0.0,0,5
129.00327, 60,1.0,0,3
