t, E, n
0.01, 195.23917, 2
0.02, 388.8258, 4
0.03, 581.2752, 6
0.04, 771.9247, 8
0.049999997, 960.7522, 10
0.059999995, 1147.6964, 12
0.06999999, 1332.9065, 14
0.07999999, 1516.7882, 16
0.08999999, 1698.581, 18
0.09999999, 1879.0592, 20
0.109999985, 2057.7708, 22
0.11999998, 2235.053, 24
0.12999998, 2410.721, 26
0.13999999, 2584.8506, 28
0.14999999, 2757.9854, 30
0.16, 2929.0464, 32
0.17, 3098.973, 34
0.18, 3267.2205, 36
0.19000001, 3433.187, 38
0.20000002, 3598.277, 40
0.21000002, 3762.4175, 42
0.22000003, 3925.7332, 44
0.23000003, 4087.862, 46
0.24000004, 4248.302, 48
0.25000003, 4407.7817, 50
0.26000002, 4565.965, 52
0.27, 4723.1445, 54
0.28, 4879.7812, 56
0.29, 5034.0083, 58
0.29999998, 5186.9175, 60
0.30999997, 5339.4214, 62
0.31999996, 5490.4956, 64
0.32999995, 5640.5845, 66
0.33999994, 5789.8223, 68
0.34999993, 5938.1626, 70
0.35999992, 6085.4336, 72
0.36999992, 6232.026, 74
0.3799999, 6378.2046, 76
0.3899999, 6522.97, 78
0.3999999, 6667.3735, 80
0.40999988, 6810.595, 82
0.41999987, 6953.1978, 84
0.42999986, 7095.458, 86
0.43999985, 7237.0273, 88
0.44999984, 7377.5283, 90
0.45999983, 7517.239, 92
0.46999982, 7655.5435, 94
0.4799998, 7792.286, 96
0.4899998, 7928.236, 98
0.4999998, 8062.9404, 100
0.5099998, 8197.189, 102
0.5199998, 8330.233, 104
0.5299998, 8462.289, 106
0.5399998, 8593.296, 108
0.5499998, 8723.943, 110
0.55999976, 8853.139, 112
0.56999975, 8981.506, 114
0.57999974, 9109.053, 116
0.58999974, 9236.033, 118
0.5999997, 9362.8955, 120
0.6099997, 9489.493, 122
0.6199997, 9614.931, 124
0.6299997, 9740.006, 126
0.6399997, 9864.072, 128
0.6499997, 9987.86, 130
0.65999967, 10111.445, 132
0.66999966, 10234.596, 134
0.67999965, 10357.077, 136
0.68999964, 10478.458, 138
0.69999963, 10598.515, 140
0.7099996, 10718.157, 142
0.7199996, 10837.121, 144
0.7299996, 10955.679, 146
0.7399996, 11073.819, 148
0.7499996, 11190.901, 150
0.7599996, 11306.804, 152
0.76999956, 11423.234, 154
0.77999955, 11538.756, 156
0.78999954, 11653.391, 158
0.79999954, 11768.011, 160
0.8099995, 11882.334, 162
0.8199995, 11996.231, 164
0.8299995, 12110.443, 166
0.8399995, 12224.615, 168
0.8499995, 12338.624, 170
0.8599995, 12452.524, 172
0.86999947, 12566.83, 174
0.87999946, 12681.5205, 176
0.88999945, 12796.066, 178
0.89999944, 12910.669, 180
0.90999943, 13025.216, 182
0.9199994, 13138.93, 184
0.9299994, 13252.456, 186
0.9399994, 13365.405, 188
0.9499994, 13477.524, 190
0.9599994, 13589.282, 192
0.9699994, 13701.565, 194
0.97999936, 13812.772, 196
0.98999935, 13924.593, 198
0.99999934, 14036.844, 200
1.0099994, 14148.721, 202
1.0199994, 14261.458, 204
1.0299994, 14374.385, 206
1.0399994, 14487.664, 208
1.0499994, 14601.026, 210
1.0599993, 14713.986, 212
1.0699993, 14827.501, 214
1.0799993, 14941.723, 216
1.0899993, 15056.66, 218
1.0999993, 15172.42, 220
1.1099993, 15288.388, 222
1.1199993, 15405.291, 224
1.1299993, 15522.89, 226
1.1399993, 15640.956, 228
1.1499993, 15760.203, 230
1.1599993, 15879.74, 232
1.1699992, 16000.294, 234
1.1799992, 16121.534, 236
1.1899992, 16242.902, 238
1.1999992, 16364.467, 240
1.2099992, 16487.281, 242
1.2199992, 16610.164, 244
1.2299992, 16733.617, 246
1.2399992, 16857.021, 248
1.2499992, 16981.732, 250
1.2599992, 17107.213, 252
1.2699991, 17233.26, 254
1.2799991, 17359.953, 256
1.2899991, 17486.69, 258
1.2999991, 17614.352, 260
1.3099991, 17742.771, 262
1.3199991, 17871.438, 264
1.3299991, 18001.152, 266
1.3399991, 18131.031, 268
1.3499991, 18262.143, 270
1.3599991, 18393.133, 272
1.369999, 18524.639, 274
1.379999, 18656.518, 276
1.389999, 18790.21, 278
1.399999, 18924.832, 280
1.409999, 19061.268, 282
1.419999, 19198.84, 284
1.429999, 19336.408, 286
1.439999, 19474.953, 288
1.449999, 19614.33, 290
1.459999, 19755.44, 292
1.469999, 19897.174, 294
1.479999, 20040.021, 296
1.4899989, 20183.55, 298
1.4999989, 20328.229, 300
1.5099989, 20473.219, 302
1.5199989, 20620.082, 304
1.5299989, 20767.295, 306
1.5399989, 20915.611, 308
1.5499989, 21064.906, 310
1.5599989, 21215.111, 312
1.5699989, 21367.135, 314
1.5799989, 21521.113, 316
1.5899988, 21676.81, 318
1.5999988, 21833.7, 320
1.6099988, 21991.252, 322
1.6199988, 22150.117, 324
1.6299988, 22310.617, 326
1.6399988, 22472.916, 328
1.6499988, 22636.904, 330
1.6599988, 22802.842, 332
1.6699988, 22970.549, 334
