t, E,n,m
2.0199986,163837.61,202000,35
2.0299985,164588.66,203000,35
2.0399985,165339.14,204000,35
2.0499985,166087.34,205000,35
2.0599985,166838.66,206000,35
2.0699985,167585.14,207000,35
2.0799985,168332.61,208000,35
2.0899985,169078.88,209000,35
2.0999985,169823.25,210000,35
2.1099985,170572.66,211000,35
2.1199985,171319.06,212000,35
2.1299984,172062.16,213000,35
2.1399984,172810.94,214000,35
2.1499984,173557.86,215000,35
2.1599984,174303.58,216000,35
2.1699984,175046.95,217000,35
2.1799984,175794.75,218000,35
2.1899984,176538.14,219000,35
2.1999984,177279.92,220000,35
2.2099984,178022.52,221000,35
2.2199984,178758.89,222000,35
2.2299984,179501.14,223000,35
2.2399983,180242.1,224000,35
2.2499983,180985.78,225000,35
2.2599983,181726.28,226000,35
2.2699983,182471.06,227000,35
2.2799983,183210.6,228000,35
2.2899983,183949.16,229000,35
2.2999983,184692.33,230000,35
2.3099983,185432.77,231000,35
2.3199983,186172.27,232000,35
2.3299983,186916.27,233000,35
2.3399982,187658.17,234000,35
2.3499982,188400.08,235000,35
2.3599982,189133.47,236000,35
2.3699982,189872.77,237000,35
2.3799982,190611.5,238000,35
2.3899982,191347.94,239000,35
2.3999982,192089.14,240000,35
2.4099982,192834.38,241000,35
2.4199982,193581.12,242000,35
2.4299982,194319.28,243000,35
2.4399981,195058.86,244000,35
2.4499981,195799.81,245000,35
2.4599981,196539.23,246000,35
2.4699981,197275.92,247000,35
2.479998,198014.95,248000,35
2.489998,198755.78,249000,35
2.499998,199496.89,250000,35
2.509998,200237.5,251000,35
2.519998,200969.95,252000,35
2.529998,201713.42,253000,35
2.539998,202449.3,254000,35
2.549998,203188.84,255000,35
2.559998,203926.03,256000,35
2.569998,204666.94,257000,35
2.579998,205404.67,258000,35
2.589998,206144.92,259000,35
2.599998,206887.02,260000,35
2.609998,207624.88,261000,35
2.619998,208363.64,262000,35
2.629998,209102.42,263000,35
2.639998,209838.56,264000,35
2.649998,210575.69,265000,35
2.659998,211315.55,266000,35
2.669998,212052.95,267000,35
2.679998,212792.02,268000,35
2.689998,213535.55,269000,35
2.699998,214274.97,270000,35
2.709998,215014.45,271000,35
2.719998,215754.89,272000,35
2.7299979,216494.34,273000,35
2.7399979,217237.2,274000,35
2.7499979,217978.47,275000,35
2.7599978,218716.89,276000,35
2.7699978,219459.16,277000,35
2.7799978,220197.92,278000,35
2.7899978,220943.92,279000,35
2.7999978,221682.89,280000,35
2.8099978,222427.06,281000,35
2.8199978,223168.47,282000,35
2.8299978,223911.55,283000,35
2.8399978,224651.72,284000,35
2.8499978,225389.3,285000,35
2.8599977,226132.03,286000,35
2.8699977,226874.98,287000,35
2.8799977,227619.0,288000,35
2.8899977,228364.6,289000,35
2.8999977,229107.45,290000,35
2.9099977,229851.25,291000,35
2.9199977,230597.34,292000,35
2.9299977,231337.11,293000,35
2.9399977,232072.75,294000,35
2.9499977,232809.88,295000,35
2.9599977,233551.44,296000,35
2.9699976,234296.56,297000,35
2.9799976,235040.58,298000,35
2.9899976,235781.97,299000,35
2.9999976,236528.2,300000,35
3.0099976,237269.16,301000,35
3.0199976,238013.02,302000,35
3.0299976,238754.28,303000,35
3.0399976,239501.38,304000,35
3.0499976,240243.05,305000,35
3.0599976,240985.56,306000,35
3.0699975,241726.25,307000,35
3.0799975,242468.92,308000,35
3.0899975,243214.16,309000,35
3.0999975,243956.98,310000,35
3.1099975,244699.98,311000,35
3.1199975,245443.89,312000,35
3.1299975,246188.8,313000,35
3.1399975,246937.16,314000,35
3.1499975,247680.78,315000,35
3.1599975,248421.34,316000,35
3.1699975,249165.75,317000,35
3.1799974,249909.56,318000,35
3.1899974,250653.81,319000,35
3.1999974,251397.34,320000,35
3.2099974,252145.42,321000,35
3.2199974,252888.78,322000,35
3.2299974,253628.67,323000,35
3.2399974,254370.28,324000,35
3.2499974,255115.2,325000,35
3.2599974,255856.5,326000,35
3.2699974,256602.95,327000,35
3.2799973,257340.31,328000,35
3.2899973,258080.72,329000,35
3.2999973,258823.22,330000,35
3.3099973,259559.95,331000,35
3.3199973,260303.61,332000,35
3.3299973,261048.88,333000,35
3.3399973,261790.33,334000,37
3.3499973,262529.75,335000,37
3.3599973,263267.3,336000,37
3.3699973,264006.66,337000,37
3.3799973,264743.8,338000,37
3.3899972,265483.94,339000,37
3.3999972,266224.38,340000,37
3.4099972,266960.1,341000,37
3.4199972,267692.53,342000,37
3.4299972,268427.66,343000,37
3.4399972,269166.94,344000,37
3.4499972,269906.16,345000,37
3.4599972,270639.5,346000,37
3.4699972,271373.03,347000,37
3.4799972,272104.88,348000,37
3.4899971,272834.72,349000,37
3.4999971,273561.25,350000,37
3.5099971,274294.62,351000,37
3.5199971,275025.6,352000,37
3.529997,275757.94,353000,37
3.539997,276492.62,354000,37
3.549997,277230.78,355000,37
3.559997,277964.0,356000,37
3.569997,278702.94,357000,37
3.579997,279437.72,358000,37
3.589997,280170.28,359000,40
3.599997,280904.88,360000,40
3.609997,281641.8,361000,40
3.619997,282376.44,362000,40
3.629997,283113.2,363000,40
3.639997,283847.72,364000,40
3.649997,284577.66,365000,40
3.659997,285308.56,366000,40
3.669997,286044.84,367000,40
3.679997,286782.28,368000,40
3.689997,287515.5,369000,40
3.699997,288248.06,370000,40
3.709997,288980.0,371000,40
3.719997,289709.25,372000,40
3.729997,290446.3,373000,40
3.739997,291180.94,374000,40
3.749997,291910.75,375000,40
3.759997,292640.2,376000,40
3.769997,293372.47,377000,40
3.7799969,294107.84,378000,40
3.7899969,294839.84,379000,40
3.7999969,295573.44,380000,40
3.8099968,296305.75,381000,40
3.8199968,297042.47,382000,40
3.8299968,297775.56,383000,40
