t, E,n,m,variacion_absoluta
10.85515305,781123.258,1085500.0,54.9,6.0
10.95515535,787391.3189999999,1095500.0,55.8,6.0
11.055157699999999,793662.132,1105500.0,60.8,11.7
11.15515995,799916.425,1115500.0,58.4,6.2
11.2551622,806139.625,1125500.0,55.2,1.5
11.355164550000001,812348.034,1135500.0,61.7,11.6
11.4551668,818535.415,1145500.0,59.9,6.1
11.5551691,824708.742,1155500.0,59.4,6.2
11.65517135,830886.355,1165500.0,57.8,2.7
11.75517375,837036.878,1175500.0,57.2,1.2
11.855176,843144.727,1185500.0,60.3,6.5
11.9551782,849175.093,1195500.0,61.1,7.3
12.05518055,855196.39,1205500.0,64.6,12.1
12.15518285,861195.983,1215500.0,59.0,1.2
12.2551851,867201.3640000001,1225500.0,62.2,7.6
12.3551874,873205.783,1235500.0,63.7,6.7
12.455189749999999,879232.2490000001,1245500.0,62.8,7.2
12.555192,885208.375,1255500.0,68.8,16.0
12.65519425,891191.6449999999,1265500.0,60.9,1.6
12.7551966,897196.449,1275500.0,67.5,12.6
12.855198849999999,903213.7300000001,1285500.0,67.6,9.6
12.955201149999999,909223.5730000001,1295500.0,65.7,10.5
13.0552034,915208.9210000001,1305500.0,69.1,14.1
13.1552058,921212.496,1315500.0,69.3,10.2
13.255208,927261.1539999999,1325500.0,67.0,10.0
13.355210249999999,933301.675,1335500.0,71.9,13.2
13.455212649999998,939310.8759999999,1345500.0,72.9,11.6
13.5552149,945302.743,1355500.0,67.3,4.7
13.655217149999999,951297.7550000001,1365500.0,70.8,7.2
13.755219449999998,957309.47,1375500.0,73.9,14.2
13.8552218,963295.964,1385500.0,72.2,11.0
13.955224000000001,969229.714,1395500.0,74.2,10.5
14.055226300000001,975111.7359999999,1405500.0,71.0,11.1
14.155228650000002,981004.076,1415500.0,74.1,14.8
14.2552309,986954.409,1425500.0,74.3,10.5
14.3552332,992931.7660000001,1435500.0,71.9,11.3
14.45523545,998909.25,1445500.0,75.0,14.5
14.5552378,1004870.383,1455500.0,78.2,11.3
14.65524005,1010856.1390000001,1465500.0,69.3,4.3
14.7552423,1016842.3189999999,1475500.0,72.9,7.0
14.85524465,1022828.667,1485500.0,73.8,8.6
14.95524695,1028744.7640000001,1495500.0,78.0,14.6
15.0552492,1034561.189,1505500.0,76.7,10.5
15.1552515,1040326.3609999999,1515500.0,75.8,9.2
15.2552538,1046091.475,1525500.0,81.6,15.8
15.35525605,1051977.17,1535500.0,82.0,15.4
15.45525835,1057555.26,1545500.0,79.1,8.2
15.5552607,1063169.0699999998,1555500.0,83.0,15.4
15.65526295,1068764.17,1565500.0,83.5,16.9
15.7552652,1074534.26,1575500.0,82.5,15.4
15.855267549999999,1080365.35,1585500.0,83.1,12.7
15.955269699999999,1086088.3800000001,1595500.0,79.7,12.1
16.0552721,1091685.31,1605500.0,80.3,8.3
16.1552744,1097162.95,1615500.0,85.4,16.5
16.2552767,1102649.1300000001,1625500.0,80.1,8.7
16.355279200000002,1108068.51,1635500.0,81.3,9.0
16.455281,1113511.9,1645500.0,85.0,15.8
16.555283600000003,1119017.95,1655500.0,87.0,15.1
16.6552858,1124604.85,1665500.0,82.6,8.4
16.755288200000003,1130159.17,1675500.0,78.9,0.5
16.8552903,1135594.03,1685500.0,79.3,0.8
16.955292800000002,1141074.53,1695500.0,81.0,1.2
17.055295,1146604.48,1705500.0,83.2,2.1
17.1552972,1152123.73,1715500.0,82.4,1.1
17.255299700000002,1157722.1199999999,1725500.0,82.5,1.5
17.3553018,1163337.6199999999,1735500.0,87.3,9.6
17.4553041,1168886.8900000001,1745500.0,83.9,3.0
17.5553064,1174408.1400000001,1755500.0,83.5,0.8
17.655309,1179978.78,1765500.0,92.6,17.4
17.7553108,1185606.98,1775500.0,83.5,1.1
17.8553132,1191143.6400000001,1785500.0,88.3,10.3
17.9553156,1196635.98,1795500.0,93.4,18.3
18.0553179,1202145.8,1805500.0,93.5,18.6
18.1553202,1207633.85,1815500.0,93.2,17.7
18.2553224,1213015.1800000002,1825500.0,94.2,18.0
18.355324799999998,1218335.25,1835500.0,91.6,9.8
18.455327,1223658.7,1845500.0,91.7,10.2
18.5553295,1228988.8199999998,1855500.0,94.6,8.9
18.6553314,1234308.26,1865500.0,97.7,17.3
18.7553339,1239563.08,1875500.0,105.7,24.5
18.8553362,1244827.6099999999,1885500.0,94.9,13.6
18.9553387,1250126.23,1895500.0,94.0,9.6
19.0553406,1255431.2,1905500.0,94.8,9.8
19.155343,1260731.3599999999,1915500.0,100.3,19.8
19.2553453,1266081.47,1925500.0,99.8,18.4
19.350347555555558,1271205.6444444444,1935000.0,97.44444444444444,13.555555555555555
