t, E, n
2.0E-4, 197.19092, 2
0.0012999998, 1278.689, 13
0.0023999996, 2359.1472, 24
0.0035000003, 3436.5464, 35
0.0045999996, 4513.668, 46
0.005699998, 5588.016, 57
0.006799996, 6663.77, 68
0.007899994, 7740.4165, 79
0.008999992, 8817.919, 90
0.01009999, 9892.548, 101
0.011199988, 10965.176, 112
0.012299987, 12032.309, 123
0.013399985, 13099.482, 134
0.014499983, 14163.143, 145
0.015599981, 15226.651, 156
0.01669998, 16287.291, 167
0.017799977, 17347.053, 178
0.018899975, 18406.36, 189
0.019999973, 19463.531, 200
0.021099972, 20521.043, 211
0.02219997, 21577.08, 222
0.023299968, 22633.38, 233
0.024399966, 23691.053, 244
0.025499964, 24748.275, 255
0.026599962, 25803.318, 266
0.02769996, 26854.809, 277
0.028799959, 27905.87, 288
0.029899957, 28955.9, 299
0.030999955, 30003.291, 310
0.03209997, 31048.256, 321
0.03319999, 32092.389, 332
0.034300007, 33135.656, 343
0.035400026, 34177.887, 354
0.036500044, 35221.035, 365
0.037600063, 36258.74, 376
0.03870008, 37297.258, 387
0.0398001, 38338.492, 398
0.04090012, 39374.92, 409
0.042000137, 40409.81, 420
0.043100156, 41444.734, 431
0.044200175, 42481.7, 442
0.045300193, 43516.18, 453
0.04640021, 44549.098, 464
0.04750023, 45585.34, 475
0.04860025, 46619.36, 486
0.049700268, 47650.207, 497
0.050800286, 48679.383, 508
0.051900305, 49710.95, 519
0.053000323, 50740.594, 530
0.054100342, 51772.15, 541
0.05520036, 52799.87, 552
0.05630038, 53823.72, 563
0.057400398, 54848.58, 574
0.058500417, 55871.81, 585
0.059600435, 56895.027, 596
0.060700454, 57919.066, 607
0.061800472, 58943.414, 618
0.06290049, 59966.992, 629
0.06400051, 60990.18, 640
0.06510053, 62010.527, 651
0.06620055, 63031.355, 662
0.067300566, 64049.297, 673
0.068400584, 65064.85, 684
0.0695006, 66079.914, 695
0.07060062, 67091.86, 706
0.07170064, 68105.99, 717
0.07280066, 69118.945, 728
0.07390068, 70133.016, 739
0.075000696, 71148.02, 750
0.076100715, 72161.37, 761
0.07720073, 73171.586, 772
0.07830075, 74180.52, 783
0.07940077, 75190.91, 794
0.08050079, 76202.4, 805
0.08160081, 77210.78, 816
0.082700826, 78221.055, 827
0.083800845, 79225.87, 838
0.08490086, 80233.62, 849
0.08600088, 81238.78, 860
0.0871009, 82239.016, 871
0.08820092, 83241.21, 882
0.08930094, 84243.086, 893
0.09040096, 85245.0, 904
0.091500975, 86247.75, 915
0.092600994, 87246.664, 926
0.09370101, 88246.23, 937
0.09480103, 89243.234, 948
0.09590105, 90241.24, 959
0.09700107, 91235.664, 970
0.09810109, 92230.484, 981
0.099201106, 93222.53, 992
0.100301124, 94215.945, 1003
0.10140114, 95211.36, 1014
0.10250116, 96207.625, 1025
0.10360118, 97201.914, 1036
0.1047012, 98194.69, 1047
0.10580122, 99186.86, 1058
0.106901236, 100178.484, 1069
0.108001254, 101168.89, 1080
0.10910127, 102161.195, 1091
0.11020129, 103153.25, 1102
0.11130131, 104142.91, 1113
0.11240133, 105131.45, 1124
0.11350135, 106119.984, 1135
0.114601366, 107109.5, 1146
0.115701385, 108098.484, 1157
0.1168014, 109086.36, 1168
0.11790142, 110070.52, 1179
0.11900144, 111052.45, 1190
0.12010146, 112031.21, 1201
0.12120148, 113012.02, 1212
0.1223015, 113989.21, 1223
0.123401515, 114963.12, 1234
0.124501534, 115937.62, 1245
0.12560154, 116911.19, 1256
0.12670156, 117884.99, 1267
0.12780158, 118856.17, 1278
0.1289016, 119824.695, 1289
0.13000162, 120793.54, 1300
0.13110164, 121759.99, 1311
0.13220166, 122729.9, 1322
0.13330168, 123698.59, 1333
0.1344017, 124663.75, 1344
0.13550171, 125631.8, 1355
0.13660173, 126600.164, 1366
0.13770175, 127566.88, 1377
0.13880177, 128530.484, 1388
0.13990179, 129492.37, 1399
0.1410018, 130456.39, 1410
0.14210182, 131418.36, 1421
0.14320184, 132381.95, 1432
0.14430186, 133345.06, 1443
0.14540188, 134305.95, 1454
0.1465019, 135262.62, 1465
0.14760192, 136223.36, 1476
0.14870194, 137188.84, 1487
0.14980195, 138153.52, 1498
0.15090197, 139119.77, 1509
0.15200199, 140084.67, 1520
0.15310201, 141048.42, 1531
0.15420203, 142013.08, 1542
0.15530205, 142975.12, 1553
0.15640207, 143939.22, 1564
0.15750208, 144900.67, 1575
0.1586021, 145859.3, 1586
0.15970212, 146818.0, 1597
0.16080214, 147777.98, 1608
0.16190216, 148736.67, 1619
0.16300218, 149694.94, 1630
0.1641022, 150653.42, 1641
0.16520222, 151609.98, 1652
0.16630223, 152563.84, 1663
0.16740225, 153515.6, 1674
0.16850227, 154465.56, 1685
0.16960229, 155411.11, 1696
0.17070231, 156353.44, 1707
0.17180233, 157295.33, 1718
0.17290235, 158237.02, 1729
0.17400236, 159178.3, 1740
0.17510238, 160118.78, 1751
0.1762024, 161060.1, 1762
0.17730242, 162000.62, 1773
0.17840244, 162943.03, 1784
0.17950246, 163886.77, 1795
0.18060248, 164826.47, 1806
0.1817025, 165764.11, 1817
0.18280251, 166700.55, 1828
0.18390253, 167636.2, 1839
0.18500255, 168568.05, 1850
0.18610257, 169502.33, 1861
0.18720259, 170435.1, 1872
0.1883026, 171366.0, 1883
0.18940262, 172296.47, 1894
0.19050264, 173225.11, 1905
0.19160266, 174153.25, 1916
0.19270268, 175078.42, 1927
0.1938027, 176006.28, 1938
0.19490272, 176933.2, 1949
0.19600274, 177860.47, 1960
0.19710276, 178785.25, 1971
0.19820277, 179710.42, 1982
0.19930279, 180637.11, 1993
0.20040281, 181559.44, 2004
0.20150283, 182480.31, 2015
0.20260285, 183404.83, 2026
0.20370287, 184325.05, 2037
0.20480289, 185245.14, 2048
0.2059029, 186160.95, 2059
0.20700292, 187074.22, 2070
0.20810294, 187983.19, 2081
0.20920296, 188891.66, 2092
0.21030298, 189801.92, 2103
0.211403, 190710.53, 2114
0.21250302, 191618.28, 2125
0.21360303, 192529.95, 2136
0.21470305, 193444.42, 2147
0.21580307, 194359.28, 2158
0.21690309, 195272.08, 2169
0.21800311, 196183.1, 2180
0.21910313, 197095.06, 2191
0.22020315, 198006.58, 2202
0.22130316, 198918.92, 2213
0.22240318, 199829.58, 2224
0.2235032, 200738.84, 2235
0.22460322, 201649.36, 2246
0.22570324, 202558.3, 2257
0.22680326, 203466.19, 2268
0.22790328, 204372.53, 2279
0.2290033, 205279.77, 2290
0.23010331, 206187.27, 2301
0.23120333, 207091.64, 2312
0.23230335, 207999.47, 2323
0.23340337, 208906.58, 2334
0.23450339, 209813.89, 2345
0.2356034, 210717.98, 2356
0.23670343, 211621.69, 2367
0.23780344, 212523.25, 2378
0.23890346, 213424.88, 2389
0.24000348, 214329.06, 2400
0.2411035, 215232.19, 2411
0.24220352, 216135.27, 2422
0.24330354, 217035.89, 2433
0.24440356, 217936.97, 2444
0.24550357, 218839.0, 2455
0.2466036, 219736.94, 2466
0.24770361, 220637.31, 2477
0.24880363, 221535.27, 2488
0.24990365, 222429.34, 2499
0.2510035, 223323.03, 2510
0.25210336, 224217.61, 2521
0.2532032, 225110.89, 2532
0.25430307, 226001.67, 2543
0.25540292, 226893.89, 2554
0.25650278, 227783.22, 2565
0.25760263, 228671.44, 2576
0.2587025, 229562.08, 2587
0.25980234, 230451.58, 2598
0.2609022, 231337.31, 2609
0.26200205, 232222.56, 2620
0.2631019, 233106.1, 2631
0.26420176, 233987.39, 2642
0.26530161, 234867.45, 2653
0.26640147, 235747.39, 2664
0.26750132, 236624.36, 2675
0.26860118, 237496.06, 2686
0.26970103, 238367.75, 2697
0.2708009, 239234.95, 2708
0.27190074, 240102.42, 2719
0.2730006, 240965.14, 2730
0.27410045, 241828.27, 2741
0.2752003, 242687.56, 2752
0.27630016, 243545.08, 2763
0.27740002, 244398.69, 2774
0.27849987, 245249.4, 2785
0.27959973, 246100.45, 2796
0.28069958, 246951.66, 2807
0.28179944, 247804.66, 2818
0.2828993, 248655.16, 2829
0.28399915, 249505.36, 2840
0.285099, 250356.73, 2851
0.28619885, 251207.11, 2862
0.2872987, 252057.5, 2873
0.28839856, 252908.08, 2884
0.28949842, 253757.45, 2895
0.29059827, 254608.12, 2906
0.29169813, 255457.69, 2917
0.29279798, 256311.08, 2928
0.29389784, 257165.42, 2939
0.2949977, 258015.22, 2950
0.29609755, 258862.02, 2961
0.2971974, 259710.95, 2972
0.29829726, 260560.56, 2983
0.2993971, 261412.23, 2994
0.30049697, 262265.88, 3005
0.30159682, 263118.88, 3016
0.30269668, 263970.44, 3027
0.30379653, 264817.2, 3038
0.30489638, 265665.56, 3049
0.30599624, 266512.94, 3060
0.3070961, 267358.75, 3071
0.30819595, 268204.25, 3082
0.3092958, 269047.34, 3093
0.31039566, 269891.5, 3104
0.3114955, 270733.7, 3115
0.31259537, 271576.88, 3126
0.31369522, 272422.28, 3137
0.31479508, 273266.66, 3148
0.31589493
