t, E, n
1.8699986, 26519.826, 374
1.8799986, 26725.305, 376
1.8899986, 26932.39, 378
1.8999985, 27141.656, 380
1.9099985, 27352.129, 382
1.9199985, 27564.553, 384
1.9299985, 27779.252, 386
1.9399985, 27995.459, 388
1.9499985, 28213.393, 390
1.9599985, 28432.752, 392
1.9699985, 28653.451, 394
1.9799985, 28876.807, 396
1.9899985, 29101.656, 398
1.9999985, 29328.18, 400
2.0099986, 29556.494, 402
2.0199986, 29786.412, 404
2.0299985, 30018.697, 406
2.0399985, 30252.502, 408
2.0499985, 30488.66, 410
2.0599985, 30727.191, 412
2.0699985, 30967.93, 414
2.0799985, 31210.836, 416
2.0899985, 31455.477, 418
2.0999985, 31702.764, 420
2.1099985, 31951.99, 422
2.1199985, 32202.242, 424
2.1299984, 32455.379, 426
2.1399984, 32710.164, 428
2.1499984, 32967.062, 430
2.1599984, 33225.266, 432
2.1699984, 33486.055, 434
2.1799984, 33748.734, 436
2.1899984, 34013.895, 438
2.1999984, 34280.348, 440
2.2099984, 34549.12, 442
2.2199984, 34819.812, 444
2.2299984, 35093.156, 446
2.2399983, 35368.75, 448
2.2499983, 35646.594, 450
2.2599983, 35926.277, 452
2.2699983, 36208.58, 454
2.2799983, 36493.348, 456
2.2899983, 36780.133, 458
2.2999983, 37069.312, 460
2.3099983, 37361.4, 462
2.3199983, 37655.97, 464
2.3299983, 37953.156, 466
2.3399982, 38252.145, 468
2.3499982, 38553.168, 470
2.3599982, 38857.152, 472
2.3699982, 39163.95, 474
2.3799982, 39472.418, 476
2.3899982, 39783.55, 478
2.3999982, 40096.863, 480
2.4099982, 40412.71, 482
2.4199982, 40731.68, 484
2.4299982, 41053.953, 486
2.4399981, 41378.47, 488
2.4499981, 41706.07, 490
2.4599981, 42035.63, 492
2.4699981, 42368.19, 494
2.479998, 42703.66, 496
2.489998, 43042.363, 498
2.499998, 43384.41, 500
2.509998, 43728.742, 502
2.519998, 44076.168, 504
2.529998, 44426.39, 506
2.539998, 44779.965, 508
2.549998, 45135.305, 510
2.559998, 45493.54, 512
2.569998, 45854.336, 514
2.579998, 46217.84, 516
2.589998, 46585.098, 518
2.599998, 46955.605, 520
2.609998, 47329.023, 522
2.619998, 47705.72, 524
2.629998, 48085.223, 526
2.639998, 48468.344, 528
2.649998, 48854.92, 530
2.659998, 49244.625, 532
2.669998, 49636.625, 534
2.679998, 50031.53, 536
2.689998, 50429.14, 538
2.699998, 50830.17, 540
2.709998, 51234.223, 542
2.719998, 51641.434, 544
2.7299979, 52050.566, 546
2.7399979, 52462.113, 548
2.7499979, 52876.664, 550
2.7599978, 53295.277, 552
2.7699978, 53717.527, 554
2.7799978, 54143.516, 556
2.7899978, 54573.508, 558
2.7999978, 55007.24, 560
2.8099978, 55443.836, 562
2.8199978, 55883.39, 564
2.8299978, 56326.934, 566
2.8399978, 56774.156, 568
2.8499978, 57224.207, 570
2.8599977, 57677.06, 572
2.8699977, 58132.848, 574
2.8799977, 58591.72, 576
2.8899977, 59054.375, 578
2.8999977, 59520.3, 580
2.9099977, 59989.2, 582
2.9199977, 60461.656, 584
2.9299977, 60937.73, 586
2.9399977, 61417.336, 588
2.9499977, 61900.742, 590
2.9599977, 62386.91, 592
2.9699976, 62876.055, 594
2.9799976, 63369.438, 596
2.9899976, 63865.91, 598
2.9999976, 64365.965, 600
3.0099976, 64869.26, 602
3.0199976, 65375.113, 604
3.0299976, 65884.73, 606
3.0399976, 66397.41, 608
3.0499976, 66914.266, 610
3.0599976, 67434.65, 612
3.0699975, 67959.375, 614
3.0799975, 68487.27, 616
3.0899975, 69018.77, 618
3.0999975, 69553.59, 620
3.1099975, 70092.34, 622
3.1199975, 70634.52, 624
3.1299975, 71180.74, 626
3.1399975, 71731.12, 628
3.1499975, 72285.164, 630
3.1599975, 72842.8, 632
3.1699975, 73404.11, 634
3.1799974, 73968.95, 636
3.1899974, 74538.016, 638
3.1999974, 75111.21, 640
3.2099974, 75688.01, 642
3.2199974, 76268.95, 644
3.2299974, 76853.24, 646
3.2399974, 77441.586, 648
3.2499974, 78033.45, 650
3.2599974, 78629.84, 652
3.2699974, 79230.484, 654
3.2799973, 79835.31, 656
3.2899973, 80444.2, 658
3.2999973, 81057.484, 660
3.3099973, 81675.016, 662
3.3199973, 82296.44, 664
3.3299973, 82922.61, 666
3.3399973, 83551.97, 668
3.3499973, 84185.15, 670
3.3599973, 84822.66, 672
3.3699973, 85463.72, 674
3.3799973, 86108.12, 676
3.3899972, 86756.055, 678
3.3999972, 87408.2, 680
3.4099972, 88064.11, 682
3.4199972, 88724.23, 684
3.4299972, 89388.81, 686
3.4399972, 90057.164, 688
3.4499972, 90729.61, 690
3.4599972, 91406.484, 692
3.4699972, 92087.836, 694
3.4799972, 92773.445, 696
3.4899971, 93463.58, 698
3.4999971, 94157.88, 700
3.5099971, 94856.336, 702
3.5199971, 95559.61, 704
3.529997, 96266.63, 706
3.539997, 96976.64, 708
3.549997, 97691.016, 710
3.559997, 98409.56, 712
3.569997, 99132.35, 714
3.579997, 99859.35, 716
3.589997, 100591.086, 718
3.599997, 101325.96, 720
3.609997, 102065.85, 722
3.619997, 102809.53, 724
3.629997, 103557.47, 726
3.639997, 104309.9, 728
3.649997, 105066.49, 730
3.659997, 105826.59, 732
3.669997, 106591.016, 734
3.679997, 107359.02, 736
3.689997, 108132.01, 738
3.699997, 108909.32, 740
3.709997, 109691.695, 742
3.719997, 110478.15, 744
3.729997, 111269.15, 746
3.739997, 112064.945, 748
3.749997, 112865.36, 750
3.759997, 113669.72, 752
3.769997, 114478.25, 754
3.7799969, 115291.22, 756
3.7899969, 116109.06, 758
3.7999969, 116931.69, 760
3.8099968, 117758.47, 762
3.8199968, 118589.04, 764
3.8299968, 119423.71, 766
3.8399968, 120262.78, 768
3.8499968, 121107.195, 770
3.8599968, 121955.65, 772
3.8699968, 122808.09, 774
3.8799968, 123665.51, 776
3.8899968, 124527.54, 778
3.8999968, 125393.87, 780
3.9099967, 126265.055, 782
3.9199967, 127140.41, 784
3.9299967, 128021.08, 786
3.9399967, 128907.25, 788
3.9499967, 129797.54, 790
3.9599967, 130693.18, 792
3.9699967, 131593.23, 794
3.9799967, 132497.14, 796
3.9899967, 133405.31, 798
3.9999967, 134318.62, 800
4.009997, 135237.17, 802
4.019997, 136160.42, 804
4.0299973, 137087.56, 806
4.0399976, 138019.28, 808
4.049998, 138956.44, 810
4.059998, 139897.53, 812
4.0699983, 140843.12, 814
4.0799985, 141793.47, 816
4.0899987, 142748.23, 818
4.099999, 143706.61, 820
4.109999, 144669.58, 822
4.1199994, 145637.75, 824
4.1299996, 146610.55, 826
4.14, 147588.34, 828
4.15, 148570.08, 830
4.1600003, 149557.67, 832
4.1700006, 150549.38, 834
4.180001, 151545.81, 836
4.190001, 152547.03, 838
4.2000012, 153552.7, 840
4.2100015, 154563.12, 842
4.2200017, 155579.03, 844
4.230002, 156599.72, 846
4.240002, 157624.75, 848
4.2500024, 158655.81, 850
4.2600026, 159691.28, 852
4.270003, 160731.98, 854
4.280003, 161777.64, 856
4.2900033, 162827.95, 858
4.3000035, 163882.47, 860
4.3100038, 164942.27, 862
4.320004, 166007.78, 864
4.330004, 167076.8, 866
4.3400044, 168151.03, 868
4.3500047, 169228.48, 870
4.360005, 170310.45, 872
4.370005, 171397.61, 874
4.3800054, 172489.9, 876
4.3900056, 173586.94, 878
4.400006, 174689.25, 880
4.410006, 175796.25, 882
4.4200063, 176908.22, 884
4.4300065, 178024.4, 886
4.4400067, 179145.8, 888
4.450007, 180272.02, 890
4.460007, 181403.3, 892
4.4700074, 182539.86, 894
4.4800076, 183681.83, 896
4.490008, 184828.06, 898
4.500008, 185978.75, 900
4.5100083, 187134.27, 902
4.5200086, 188294.5, 904
4.530009, 189459.12, 906
4.540009, 190628.14, 908
4.5500093, 191801.84, 910
4.5600095, 192980.28, 912
4.5700097, 194163.97, 914
4.58001, 195352.58, 916
4.59001, 196545.23, 918
4.6000104, 197743.12, 920
4.6100106, 198946.64, 922
4.620011, 200154.48, 924
4.630011, 201368.03, 926
4.6400113, 202585.53, 928
4.6500115, 203807.72, 930
4.660012, 205035.72, 932
4.670012, 206269.6, 934
4.680012, 207507.72, 936
4.6900125, 208751.05, 938
4.7000127, 209999.02, 940
4.710013, 211252.11, 942
4.720013, 212511.0, 944
4.7300134, 213774.8, 946
4.7400136, 215044.25, 948
4.750014, 216317.34, 950
4.760014, 217596.22, 952
4.7700143, 218879.8, 954
4.7800145, 220167.98, 956
4.7900147, 221462.19, 958
4.800015, 222761.47, 960
4.810015, 224065.34, 962
4.8200154, 225374.42, 964
4.8300157, 226688.9, 966
4.840016, 228009.16, 968
4.850016, 229335.19, 970
4.8600163, 230666.55, 972
4.8700166, 232003.1, 974
4.880017, 233344.97, 976
4.890017, 234693.12, 978
4.9000173, 236046.56, 980
4.9100175, 237405.25, 982
4.9200177, 238768.97, 984
4.930018, 240136.98, 986
4.940018, 241510.08, 988
4.9500184, 242888.28, 990
4.9600186, 244272.17, 992
4.970019, 245661.02, 994
4.980019, 247054.92, 996
4.9900193, 248454.0, 998
5.0000196, 249859.03, 1000
5.01002, 249930.8, 1000
5.02002, 249922.84, 1000
5.03002, 250288.44, 1000
5.0400205, 250432.5, 1000
5.0500207, 250272.1, 1000
5.060021, 250157.75, 1000
5.070021, 250141.14, 1000
5.0800214, 250328.47, 1000
5.0900216, 250279.72, 1000
5.100022, 250583.44, 1000
5.110022, 250772.1, 1000
5.1200223, 250899.6, 1000
5.1300225, 250769.03, 1000
5.1400228, 250704.08, 1000
5.150023, 250955.2, 1000
5.160023, 250838.14, 1000
5.1700234, 250849.7, 1000
5.1800237, 250853.06, 1000
5.190024, 250550.25, 1000
5.200024, 250394.61, 1000
5.2100244, 250378.69, 1000
5.2200246, 250564.62, 1000
5.230025, 250430.52, 1000
5.240025, 250544.88, 1000
5.2500253, 250516.23, 1000
5.2600255, 250319.3, 1000
5.2700257, 250301.3, 1000
5.280026, 250597.77, 1000
5.290026, 250617.36, 1000
5.3000264, 250793.78, 1000
5.3100266, 250865.3, 1000
5.320027, 250994.75, 1000
5.330027, 251125.6, 1000
5.3400273, 250848.89, 1000
5.3500276, 250847.81, 1000
5.360028, 250532.4, 1000
5.370028, 250755.02, 1000
5.3800282, 250795.81, 1000
5.3900285, 250978.14, 1000
5.4000287, 250785.67, 1000
5.410029, 250441.27, 1000
5.420029, 250562.72, 1000
5.4300294, 250525.22, 1000
5.4400296, 250616.08, 1000
5.45003, 250694.62, 1000
5.46003, 250932.31, 1000
5.4700303, 251044.11, 1000
5.4800305, 251264.34, 1000
5.490031, 251193.55, 1000
5.500031, 251250.72, 1000
5.510031, 251359.75, 1000
5.5200315, 251136.78, 1000
5.5300317, 251083.44, 1000
5.540032, 251113.72, 1000
5.550032, 250995.34, 1000
5.5600324, 251034.47, 1000
5.5700326, 251092.27, 1000
5.580033, 251126.1, 1000
5.590033, 251146.78, 1000
5.6000333, 251080.8, 1000
5.6100335, 251287.94, 1000
5.6200337, 251252.11, 1000
5.630034, 251268.3, 1000
5.640034, 251142.39, 1000
5.6500344, 251064.22, 1000
5.6600347, 250934.45, 1000
5.670035, 251037.75, 1000
5.680035, 250820.56, 1000
5.6900353, 251110.23, 1000
5.7000356, 250996.75, 1000
5.710036, 250921.39, 1000
5.720036, 250909.39, 1000
5.7300363, 250742.25, 1000
5.7400365, 250795.0, 1000
5.7500367, 250539.84, 1000
5.760037, 250786.38, 1000
5.770037, 250568.89, 1000
5.7800374, 250724.92, 1000
5.7900376, 250741.66, 1000
5.800038, 250764.83, 1000
5.810038, 250809.38, 1000
5.8200383, 250956.31, 1000
5.8300385, 250905.1, 1000
5.840039, 250926.75, 1000
5.850039, 251024.55, 1000
5.860039, 250956.27, 1000
5.8700395, 250999.19, 1000
5.8800397, 251117.83, 1000
5.89004, 251151.16, 1000
5.90004, 251415.1, 1000
5.9100404, 251345.14, 1000
5.9200406, 251267.72, 1000
5.930041, 251409.42, 1000
5.940041, 251405.1, 1000
5.9500413, 251211.66, 1000
5.9600415, 251361.56, 1000
5.9700418, 251097.28, 1000
5.980042, 251274.97, 1000
5.990042, 251542.11, 1000
6.0000424, 251602.78, 1000
6.0100427, 251403.39, 1000
6.020043, 251168.4, 1000
6.030043, 251379.53, 1000
6.0400434, 251320.08, 1000
6.0500436, 251408.38, 1000
6.060044, 251463.83, 1000
6.070044, 251755.3, 1000
6.0800443, 251617.84, 1000
6.0900445, 251601.05, 1000
6.1000447, 251432.52, 1000
6.110045, 251453.53, 1000
6.120045, 251473.0, 1000
6.1300454, 251439.16, 1000
6.1400456, 251153.5, 1000
6.150046, 251096.67, 1000
6.160046, 250760.55, 1000
6.1700463, 250502.05, 1000
6.1800466, 250418.27, 1000
6.190047, 250570.61, 1000
6.200047, 250518.45, 1000
6.2100472, 250563.5, 1000
6.2200475, 250680.75, 1000
6.2300477, 250772.12, 1000
6.240048, 250781.95, 1000
6.250048, 250479.61, 1000
6.2600484, 250504.38, 1000
6.2700486, 250395.58, 1000
6.280049, 250141.0, 1000
6.290049, 250096.78, 1000
6.3000493, 249884.75, 1000
6.3100495, 250198.05, 1000
6.32005, 250471.69, 1000
6.33005, 250352.83, 1000
6.34005, 250395.05, 1000
6.3500504, 250383.66, 1000
6.3600507, 250344.89, 1000
6.370051, 250100.78, 1000
6.380051, 250009.81, 1000
6.3900514, 250139.97, 1000
6.4000516, 250076.45, 1000
6.410052, 249800.48, 1000
6.420052, 249634.73, 1000
6.4300523, 249602.52, 1000
6.4400525, 249586.77, 1000
6.4500527, 249420.44, 1000
6.460053, 249159.11, 1000
6.470053, 249212.12, 1000
6.4800534, 249018.14, 1000
6.4900537, 249011.98, 1000
6.500054, 248907.62, 1000
6.510054, 249112.31, 1000
6.5200543, 248986.7, 1000
6.5300546, 249088.62, 1000
6.540055, 248978.16, 1000
6.550055, 249089.5, 1000
6.5600553, 248814.8, 1000
6.5700555, 248777.8, 1000
6.5800557, 248667.0, 1000
6.590056, 248601.89, 1000
6.600056, 248796.67, 1000
6.6100564, 248830.8, 1000
6.6200566, 249054.95, 1000
6.630057, 249139.61, 1000
6.640057, 248959.23, 1000
6.6500573, 249124.02, 1000
6.6600575, 248773.81, 1000
6.670058, 248849.4, 1000
6.680058, 248596.88, 1000
6.690058, 248759.98, 1000
6.7000585, 248568.05, 1000
6.7100587, 248782.12, 1000
6.720059, 248656.44, 1000
