t, E, n
0.01, 195.288, 2
0.02, 388.9542, 4
0.03, 580.47705, 6
0.04, 770.37305, 8
0.049999997, 958.02515, 10
0.059999995, 1143.6978, 12
0.06999999, 1327.667, 14
0.07999999, 1509.3972, 16
0.08999999, 1689.4786, 18
0.09999999, 1867.0219, 20
0.109999985, 2042.8696, 22
0.11999998, 2216.889, 24
0.12999998, 2388.7534, 26
0.13999999, 2558.9978, 28
0.14999999, 2727.615, 30
0.16, 2895.0776, 32
0.17, 3060.5266, 34
0.18, 3224.9226, 36
0.19000001, 3388.4724, 38
0.20000002, 3550.48, 40
0.21000002, 3711.5798, 42
0.22000003, 3872.0415, 44
0.23000003, 4031.5308, 46
0.24000004, 4189.0884, 48
0.25000003, 4345.6284, 50
0.26000002, 4501.06, 52
0.27, 4655.6006, 54
0.28, 4809.754, 56
0.29, 4961.636, 58
0.29999998, 5111.7905, 60
0.30999997, 5260.669, 62
0.31999996, 5409.057, 64
0.32999995, 5556.6475, 66
0.33999994, 5703.1313, 68
0.34999993, 5848.959, 70
0.35999992, 5993.636, 72
0.36999992, 6137.276, 74
0.3799999, 6279.8813, 76
0.3899999, 6421.6035, 78
0.3999999, 6562.231, 80
0.40999988, 6702.5, 82
0.41999987, 6841.681, 84
0.42999986, 6980.596, 86
0.43999985, 7117.497, 88
0.44999984, 7254.0605, 90
0.45999983, 7390.34, 92
0.46999982, 7525.0806, 94
0.4799998, 7659.159, 96
0.4899998, 7792.2427, 98
0.4999998, 7923.9253, 100
0.5099998, 8054.918, 102
0.5199998, 8046.4253, 102
0.5299998, 8057.7695, 102
0.5399998, 8058.5444, 102
0.5499998, 8073.3125, 102
0.55999976, 8090.4844, 102
0.56999975, 8090.085, 102
0.57999974, 8131.0376, 102
0.58999974, 8130.2417, 102
0.5999997, 8173.746, 102
0.6099997, 8173.729, 102
0.6199997, 8198.316, 102
0.6299997, 8242.243, 102
0.6399997, 8251.525, 102
0.6499997, 8261.092, 102
0.65999967, 8240.575, 102
0.66999966, 8270.55, 102
0.67999965, 8252.677, 102
0.68999964, 8233.386, 102
0.69999963, 8244.041, 102
0.7099996, 8224.454, 102
0.7199996, 8193.016, 102
0.7299996, 8173.6123, 102
0.7399996, 8199.627, 102
0.7499996, 8181.801, 102
0.7599996, 8176.291, 102
0.76999956, 8175.546, 102
0.77999955, 8136.601, 102
0.78999954, 8185.5635, 102
0.79999954, 8222.426, 102
0.8099995, 8220.102, 102
0.8199995, 8186.5786, 102
0.8299995, 8160.173, 102
0.8399995, 8157.7397, 102
0.8499995, 8150.3696, 102
0.8599995, 8139.958, 102
0.86999947, 8136.994, 102
0.87999946, 8139.922, 102
0.88999945, 8144.845, 102
0.89999944, 8148.0435, 102
0.90999943, 8108.619, 102
0.9199994, 8107.368, 102
0.9299994, 8075.3896, 102
0.9399994, 8111.8984, 102
0.9499994, 8101.0747, 102
0.9599994, 8054.826, 102
0.9699994, 8083.0234, 102
0.97999936, 8061.0737, 102
0.98999935, 8072.7026, 102
0.99999934, 8085.38, 102
1.0099994, 8087.5503, 102
1.0199994, 8063.057, 102
1.0299994, 8074.6675, 102
1.0399994, 8073.7686, 102
1.0499994, 8053.624, 102
1.0599993, 8019.501, 102
1.0699993, 8001.5986, 102
1.0799993, 7996.2734, 102
1.0899993, 7985.0337, 102
1.0999993, 7975.0234, 102
1.1099993, 7947.5396, 102
1.1199993, 7937.239, 102
1.1299993, 7907.5596, 102
1.1399993, 7885.6704, 102
1.1499993, 7903.8394, 102
1.1599993, 7895.7446, 102
1.1699992, 7921.4033, 102
1.1799992, 7938.4717, 102
1.1899992, 7889.469, 102
1.1999992, 7877.0093, 102
1.2099992, 7832.876, 102
1.2199992, 7819.3296, 102
1.2299992, 7834.893, 102
1.2399992, 7837.8916, 102
1.2499992, 7827.4683, 102
1.2599992, 7852.488, 102
1.2699991, 7843.2036, 102
1.2799991, 7835.963, 102
1.2899991, 7847.0527, 102
1.2999991, 7871.1206, 102
1.3099991, 7909.895, 102
1.3199991, 7861.8115, 102
1.3299991, 7884.1196, 102
1.3399991, 7884.2573, 102
1.3499991, 7837.865, 102
1.3599991, 7856.03, 102
1.369999, 7877.2544, 102
1.379999, 7848.621, 102
1.389999, 7862.168, 102
1.399999, 7858.142, 102
1.409999, 7884.354, 102
1.419999, 7883.393, 102
1.429999, 7888.423, 102
1.439999, 7888.577, 102
1.449999, 7913.8384, 102
1.459999, 7932.2905, 102
1.469999, 7906.815, 102
1.479999, 7925.2397, 102
1.4899989, 7949.7217, 102
1.4999989, 7973.416, 102
1.5099989, 7970.22, 102
1.5199989, 7944.883, 102
1.5299989, 7965.2705, 102
1.5399989, 7995.896, 102
1.5499989, 8024.908, 102
1.5599989, 8033.2446, 102
1.5699989, 8034.5996, 102
1.5799989, 8068.444, 102
1.5899988, 8100.9854, 102
1.5999988, 8112.075, 102
