t, E, n
0.01, 1949.9976, 2
0.02, 3877.684, 4
0.03, 5795.605, 6
0.04, 7703.8877, 8
0.049999997, 9588.322, 10
0.059999995, 11454.556, 12
0.06999999, 13301.501, 14
0.07999999, 15131.521, 16
0.08999999, 16943.008, 18
0.09999999, 18730.781, 20
0.109999985, 20504.898, 22
0.11999998, 22260.262, 24
0.12999998, 23997.223, 26
0.13999999, 25724.547, 28
0.14999999, 27441.203, 30
0.16, 29151.596, 32
0.17, 30843.03, 34
0.18, 32519.693, 36
0.19000001, 34186.277, 38
0.20000002, 35840.1, 40
0.21000002, 37484.652, 42
0.22000003, 39122.562, 44
0.23000003, 40751.746, 46
0.24000004, 42371.832, 48
0.25000003, 43981.055, 50
0.26000002, 45571.402, 52
0.27, 47148.58, 54
0.28, 48718.734, 56
0.29, 50271.598, 58
0.29999998, 51804.37, 60
0.30999997, 53315.812, 62
0.31999996, 54807.133, 64
0.32999995, 56284.88, 66
0.33999994, 57748.414, 68
0.34999993, 59202.82, 70
0.35999992, 60647.5, 72
0.36999992, 62077.566, 74
0.3799999, 63499.945, 76
0.3899999, 64916.84, 78
0.3999999, 66327.195, 80
0.40999988, 67731.36, 82
0.41999987, 69127.72, 84
0.42999986, 70517.414, 86
0.43999985, 71903.56, 88
0.44999984, 73280.18, 90
0.45999983, 74653.68, 92
0.46999982, 76017.95, 94
0.4799998, 77374.92, 96
0.4899998, 78727.414, 98
0.4999998, 80068.79, 100
0.5099998, 81404.12, 102
0.5199998, 81719.25, 102
0.5299998, 81457.414, 102
0.5399998, 81114.66, 102
0.5499998, 81303.87, 102
0.55999976, 81312.76, 102
0.56999975, 81489.6, 102
0.57999974, 81383.75, 102
0.58999974, 81499.9, 102
0.5999997, 81938.016, 102
0.6099997, 81772.35, 102
0.6199997, 81862.35, 102
0.6299997, 81911.25, 102
0.6399997, 81729.28, 102
0.6499997, 81505.875, 102
0.65999967, 81141.94, 102
0.66999966, 81225.0, 102
0.67999965, 81192.59, 102
0.68999964, 81060.39, 102
0.69999963, 81086.95, 102
0.7099996, 80920.41, 102
0.7199996, 80625.8, 102
0.7299996, 80229.52, 102
0.7399996, 80079.87, 102
0.7499996, 79944.73, 102
0.7599996, 80039.11, 102
0.76999956, 80052.15, 102
0.77999955, 79705.92, 102
0.78999954, 79931.03, 102
0.79999954, 80286.59, 102
0.8099995, 80652.04, 102
0.8199995, 80982.945, 102
0.8299995, 80959.61, 102
0.8399995, 81155.94, 102
0.8499995, 81019.25, 102
0.8599995, 80981.086, 102
0.86999947, 81121.266, 102
0.87999946, 80967.11, 102
0.88999945, 80666.33, 102
0.89999944, 80495.914, 102
0.90999943, 80190.94, 102
0.9199994, 80030.44, 102
0.9299994, 79866.04, 102
0.9399994, 79462.29, 102
0.9499994, 79411.43, 102
0.9599994, 79008.68, 102
0.9699994, 79120.64, 102
0.97999936, 79092.89, 102
0.98999935, 78899.89, 102
0.99999934, 79020.66, 102
1.0099994, 78873.62, 102
1.0199994, 78697.4, 102
1.0299994, 78744.35, 102
1.0399994, 78956.01, 102
1.0499994, 79038.695, 102
1.0599993, 79477.1, 102
1.0699993, 79815.79, 102
1.0799993, 80313.9, 102
1.0899993, 80164.25, 102
1.0999993, 80667.336, 102
1.1099993, 80543.27, 102
1.1199993, 80652.93, 102
1.1299993, 80371.46, 102
1.1399993, 80824.07, 102
1.1499993, 80542.1, 102
1.1599993, 80451.54, 102
1.1699992, 80567.15, 102
1.1799992, 80831.41, 102
1.1899992, 80771.65, 102
1.1999992, 80560.5, 102
1.2099992, 80904.58, 102
1.2199992, 80571.14, 102
1.2299992, 80557.266, 102
1.2399992, 80652.086, 102
1.2499992, 80757.29, 102
1.2599992, 80348.32, 102
1.2699991, 80457.53, 102
1.2799991, 80260.445, 102
1.2899991, 80593.04, 102
1.2999991, 80535.61, 102
1.3099991, 80357.3, 102
1.3199991, 80505.51, 102
1.3299991, 80452.57, 102
1.3399991, 80524.27, 102
1.3499991, 80073.87, 102
1.3599991, 80177.93, 102
1.369999, 80203.45, 102
1.379999, 80020.805, 102
1.389999, 80086.37, 102
1.399999, 79942.4, 102
1.409999, 79724.51, 102
1.419999, 79727.945, 102
1.429999, 79981.29, 102
1.439999, 79729.46, 102
1.449999, 79636.12, 102
1.459999, 79339.89, 102
1.469999, 79297.3, 102
1.479999, 79108.68, 102
1.4899989, 79057.18, 102
1.4999989, 78878.484, 102
1.5099989, 79366.46, 102
1.5199989, 79230.44, 102
1.5299989, 79441.64, 102
1.5399989, 79486.54, 102
1.5499989, 79253.92, 102
1.5599989, 79390.8, 102
1.5699989, 79551.48, 102
1.5799989, 79598.94, 102
1.5899988, 79415.24, 102
1.5999988, 79565.516, 102
1.6099988, 79758.8, 102
1.6199988, 79558.51, 102
1.6299988, 79430.61, 102
1.6399988, 79507.69, 102
1.6499988, 79219.19, 102
1.6599988, 79558.53, 102
1.6699988, 79597.79, 102
1.6799988, 79663.18, 102
1.6899987, 79518.97, 102
1.6999987, 79526.586, 102
1.7099987, 79868.28, 102
1.7199987, 79791.58, 102
1.7299987, 79743.445, 102
1.7399987, 79582.04, 102
1.7499987, 79716.42, 102
1.7599987, 79944.66, 102
1.7699987, 80229.7, 102
1.7799987, 79892.836, 102
1.7899987, 80161.3, 102
1.7999986, 80350.055, 102
1.8099986, 80439.11, 102
1.8199986, 80079.555, 102
1.8299986, 79915.766, 102
1.8399986, 79866.625, 102
1.8499986, 80396.05, 102
1.8599986, 80167.52, 102
1.8699986, 80220.38, 102
1.8799986, 79797.54, 102
1.8899986, 80052.69, 102
1.8999985, 79665.89, 102
1.9099985, 79400.484, 102
1.9199985, 79583.49, 102
1.9299985, 79143.99, 102
1.9399985, 78836.51, 102
1.9499985, 78871.74, 102
1.9599985, 79153.695, 102
1.9699985, 79164.97, 102
1.9799985, 79085.55, 102
1.9899985, 79180.77, 102
1.9999985, 79168.734, 102
2.0099986, 79051.47, 102
2.0199986, 78836.734, 102
2.0299985, 79115.82, 102
2.0399985, 78950.81, 102
2.0499985, 79257.49, 102
2.0599985, 79189.53, 102
2.0699985, 79436.25, 102
2.0799985, 79364.305, 102
2.0899985, 79248.63, 102
2.0999985, 78995.305, 102
2.1099985, 79129.62, 102
2.1199985, 78842.07, 102
2.1299984, 78606.836, 102
2.1399984, 78857.25, 102
2.1499984, 78952.34, 102
2.1599984, 79147.375, 102
2.1699984, 78755.055, 102
2.1799984, 78783.71, 102
2.1899984, 78923.66, 102
2.1999984, 78943.88, 102
2.2099984, 78961.02, 102
2.2199984, 79149.63, 102
2.2299984, 78935.36, 102
2.2399983, 79189.89, 102
2.2499983, 79216.05, 102
2.2599983, 79173.36, 102
2.2699983, 78762.65, 102
2.2799983, 79089.836, 102
2.2899983, 79489.88, 102
2.2999983, 79229.05, 102
2.3099983, 79300.914, 102
2.3199983, 79130.875, 102
2.3299983, 79077.77, 102
2.3399982, 79236.664, 102
2.3499982, 79334.68, 102
2.3599982, 79160.7, 102
2.3699982, 79403.19, 102
2.3799982, 79573.29, 102
2.3899982, 79689.52, 102
2.3999982, 80204.484, 102
2.4099982, 80197.04, 102
2.4199982, 80126.25, 102
2.4299982, 80260.336, 102
2.4399981, 80109.055, 102
2.4499981, 79974.57, 102
2.4599981, 79971.5, 102
2.4699981, 80032.31, 102
2.479998, 80106.766, 102
2.489998, 80281.99, 102
2.499998, 80068.2, 102
2.509998, 80495.76, 102
2.519998, 80172.43, 102
2.529998, 80364.16, 102
