t, E, n
0.19710276, 177660.98, 1971
0.19820277, 178572.39, 1982
0.19930279, 179484.58, 1993
0.20040281, 180399.62, 2004
0.20150283, 181316.42, 2015
0.20260285, 182229.62, 2026
0.20370287, 183142.05, 2037
0.20480289, 184058.28, 2048
0.2059029, 184977.2, 2059
0.20700292, 185898.61, 2070
0.20810294, 186818.36, 2081
0.20920296, 187739.22, 2092
0.21030298, 188663.25, 2103
0.211403, 189588.84, 2114
0.21250302, 190514.6, 2125
0.21360303, 191441.5, 2136
0.21470305, 192369.0, 2147
0.21580307, 193297.52, 2158
0.21690309, 194227.72, 2169
0.21800311, 195156.95, 2180
0.21910313, 196085.56, 2191
0.22020315, 197013.52, 2202
0.22130316, 197936.27, 2213
0.22240318, 198857.0, 2224
0.2235032, 199777.34, 2235
0.22460322, 200696.7, 2246
0.22570324, 201615.98, 2257
0.22680326, 202534.16, 2268
0.22790328, 203454.3, 2279
0.2290033, 204373.08, 2290
0.23010331, 205294.06, 2301
0.23120333, 206213.0, 2312
0.23230335, 207133.03, 2323
0.23340337, 208051.19, 2334
0.23450339, 208966.69, 2345
0.2356034, 209881.58, 2356
0.23670343, 210790.84, 2367
0.23780344, 211700.25, 2378
0.23890346, 212609.33, 2389
0.24000348, 213520.11, 2400
0.2411035, 214431.56, 2411
0.24220352, 215338.22, 2422
0.24330354, 216244.39, 2433
0.24440356, 217147.56, 2444
0.24550357, 218049.95, 2455
0.2466036, 218950.38, 2466
0.24770361, 219846.58, 2477
0.24880363, 220742.66, 2488
0.24990365, 221636.5, 2499
0.2510035, 222527.64, 2510
0.25210336, 223416.33, 2521
0.2532032, 224307.66, 2532
0.25430307, 225198.6, 2543
0.25540292, 226088.06, 2554
0.25650278, 226977.1, 2565
0.25760263, 227861.19, 2576
0.2587025, 228747.83, 2587
0.25980234, 229635.06, 2598
0.2609022, 230518.34, 2609
0.26200205, 231401.56, 2620
0.2631019, 232284.1, 2631
0.26420176, 233166.38, 2642
0.26530161, 234046.08, 2653
0.26640147, 234925.55, 2664
0.26750132, 235806.52, 2675
0.26860118, 236683.67, 2686
0.26970103, 237558.06, 2697
0.2708009, 238430.03, 2708
0.27190074, 239298.2, 2719
0.2730006, 240165.06, 2730
0.27410045, 241030.61, 2741
0.2752003, 241897.03, 2752
0.27630016, 242762.4, 2763
0.27740002, 243631.16, 2774
0.27849987, 244497.84, 2785
0.27959973, 245365.27, 2796
0.28069958, 246229.84, 2807
0.28179944, 247094.3, 2818
0.2828993, 247956.1, 2829
0.28399915, 248815.14, 2840
0.285099, 249673.22, 2851
0.28619885, 250530.22, 2862
0.2872987, 251384.92, 2873
0.28839856, 252239.94, 2884
0.28949842, 253089.6, 2895
0.29059827, 253940.48, 2906
0.29169813, 254791.86, 2917
0.29279798, 255639.84, 2928
0.29389784, 256488.5, 2939
0.2949977, 257337.11, 2950
0.29609755, 258188.84, 2961
0.2971974, 259039.11, 2972
0.29829726, 259890.14, 2983
0.2993971, 260744.02, 2994
0.30049697, 261597.69, 3005
0.30159682, 262450.44, 3016
0.30269668, 263300.88, 3027
0.30379653, 264155.28, 3038
0.30489638, 265006.72, 3049
0.30599624, 265856.66, 3060
0.3070961, 266703.03, 3071
0.30819595, 267548.84, 3082
0.3092958, 268393.5, 3093
0.31039566, 269240.1, 3104
0.3114955, 270088.7, 3115
0.31259537, 270935.47, 3126
0.31369522, 271780.44, 3137
0.31479508, 272622.47, 3148
