t, E, n
0.01, 195.14395, 2
0.02, 388.5569, 4
0.03, 580.3091, 6
0.04, 769.9662, 8
0.049999997, 957.88257, 10
0.059999995, 1144.9158, 12
0.06999999, 1330.3959, 14
0.07999999, 1514.9915, 16
0.08999999, 1698.6459, 18
0.09999999, 1880.5669, 20
0.109999985, 2061.399, 22
0.11999998, 2240.6404, 24
0.12999998, 2418.1235, 26
0.13999999, 2594.5723, 28
0.14999999, 2768.3782, 30
0.16, 2940.775, 32
0.17, 3111.6912, 34
0.18, 3280.8591, 36
0.19000001, 3449.1292, 38
0.20000002, 3615.0984, 40
0.21000002, 3779.6243, 42
0.22000003, 3942.6157, 44
0.23000003, 4104.2666, 46
0.24000004, 4265.3535, 48
0.25000003, 4425.5947, 50
0.26000002, 4584.929, 52
0.27, 4742.756, 54
0.28, 4898.983, 56
0.29, 5053.8525, 58
0.29999998, 5207.8364, 60
0.30999997, 5360.722, 62
0.31999996, 5512.899, 64
0.32999995, 5663.624, 66
0.33999994, 5812.675, 68
0.34999993, 5961.104, 70
0.35999992, 6107.9434, 72
0.36999992, 6253.7393, 74
0.3799999, 6398.67, 76
0.3899999, 6543.31, 78
0.3999999, 6686.7554, 80
0.40999988, 6828.7974, 82
0.41999987, 6969.4053, 84
0.42999986, 7109.5312, 86
0.43999985, 7247.637, 88
0.44999984, 7384.6646, 90
0.45999983, 7520.671, 92
0.46999982, 7655.787, 94
0.4799998, 7789.982, 96
0.4899998, 7924.098, 98
0.4999998, 8057.8374, 100
0.5099998, 8191.0386, 102
0.5199998, 8323.707, 104
0.5299998, 8454.792, 106
0.5399998, 8585.649, 108
0.5499998, 8715.946, 110
0.55999976, 8844.962, 112
0.56999975, 8972.911, 114
0.57999974, 9100.182, 116
0.58999974, 9227.202, 118
0.5999997, 9353.462, 120
0.6099997, 9478.319, 122
0.6199997, 9603.329, 124
0.6299997, 9728.535, 126
0.6399997, 9852.76, 128
0.6499997, 9976.668, 130
0.65999967, 10099.917, 132
0.66999966, 10221.69, 134
0.67999965, 10343.627, 136
0.68999964, 10465.681, 138
0.69999963, 10587.483, 140
0.7099996, 10709.623, 142
0.7199996, 10832.032, 144
0.7299996, 10954.308, 146
0.7399996, 11076.923, 148
0.7499996, 11199.811, 150
0.7599996, 11322.319, 152
0.76999956, 11445.24, 154
0.77999955, 11568.11, 156
0.78999954, 11690.758, 158
0.79999954, 11812.599, 160
0.8099995, 11934.514, 162
0.8199995, 12055.918, 164
0.8299995, 12177.486, 166
0.8399995, 12298.629, 168
0.8499995, 12420.24, 170
0.8599995, 12541.187, 172
0.86999947, 12662.376, 174
0.87999946, 12782.896, 176
0.88999945, 12902.98, 178
0.89999944, 13022.625, 180
0.90999943, 13142.615, 182
0.9199994, 13262.897, 184
0.9299994, 13383.734, 186
0.9399994, 13505.42, 188
0.9499994, 13627.929, 190
0.9599994, 13750.526, 192
0.9699994, 13873.866, 194
0.97999936, 13997.784, 196
0.98999935, 14121.942, 198
0.99999934, 14246.307, 200
1.0099994, 14370.593, 202
1.0199994, 14369.542, 202
1.0299994, 14378.883, 202
1.0399994, 14428.156, 202
1.0499994, 14421.909, 202
1.0599993, 14374.879, 202
1.0699993, 14388.327, 202
1.0799993, 14299.576, 202
1.0899993, 14240.248, 202
1.0999993, 14253.567, 202
1.1099993, 14210.152, 202
1.1199993, 14231.143, 202
1.1299993, 14247.756, 202
1.1399993, 14206.887, 202
1.1499993, 14296.794, 202
1.1599993, 14294.394, 202
1.1699992, 14287.504, 202
1.1799992, 14341.728, 202
1.1899992, 14309.614, 202
1.1999992, 14383.582, 202
1.2099992, 14398.397, 202
1.2199992, 14403.546, 202
1.2299992, 14394.687, 202
1.2399992, 14334.315, 202
1.2499992, 14285.782, 202
1.2599992, 14216.702, 202
1.2699991, 14228.963, 202
1.2799991, 14268.333, 202
1.2899991, 14282.615, 202
1.2999991, 14249.095, 202
1.3099991, 14248.029, 202
1.3199991, 14207.326, 202
1.3299991, 14250.717, 202
1.3399991, 14288.973, 202
1.3499991, 14248.542, 202
1.3599991, 14307.284, 202
1.369999, 14291.021, 202
1.379999, 14298.327, 202
1.389999, 14230.865, 202
1.399999, 14248.667, 202
1.409999, 14294.78, 202
1.419999, 14358.494, 202
1.429999, 14328.834, 202
1.439999, 14410.716, 202
1.449999, 14449.049, 202
1.459999, 14471.367, 202
1.469999, 14471.299, 202
1.479999, 14501.877, 202
1.4899989, 14440.039, 202
1.4999989, 14439.43, 202
1.5099989, 14426.147, 202
1.5199989, 14417.649, 202
1.5299989, 14497.406, 202
1.5399989, 14479.111, 202
1.5499989, 14473.948, 202
1.5599989, 14541.063, 202
1.5699989, 14578.053, 202
1.5799989, 14584.766, 202
1.5899988, 14530.331, 202
1.5999988, 14566.833, 202
1.6099988, 14633.469, 202
1.6199988, 14590.153, 202
1.6299988, 14533.721, 202
1.6399988, 14593.874, 202
1.6499988, 14597.045, 202
1.6599988, 14634.13, 202
1.6699988, 14728.044, 202
1.6799988, 14664.77, 202
1.6899987, 14620.553, 202
1.6999987, 14632.061, 202
1.7099987, 14572.145, 202
1.7199987, 14508.893, 202
1.7299987, 14511.212, 202
1.7399987, 14459.654, 202
1.7499987, 14433.963, 202
1.7599987, 14462.809, 202
1.7699987, 14388.456, 202
1.7799987, 14366.205, 202
1.7899987, 14378.984, 202
1.7999986, 14434.615, 202
1.8099986, 14437.434, 202
1.8199986, 14441.734, 202
1.8299986, 14423.633, 202
1.8399986, 14460.784, 202
1.8499986, 14398.143, 202
1.8599986, 14444.733, 202
1.8699986, 14416.897, 202
1.8799986, 14468.073, 202
1.8899986, 14502.598, 202
1.8999985, 14542.31, 202
1.9099985, 14504.843, 202
1.9199985, 14465.643, 202
1.9299985, 14417.298, 202
1.9399985, 14348.181, 202
1.9499985, 14283.038, 202
1.9599985, 14270.68, 202
1.9699985, 14179.365, 202
1.9799985, 14117.29, 202
1.9899985, 14120.23, 202
1.9999985, 14127.181, 202
2.0099986, 14124.51, 202
2.0199986, 14104.626, 202
2.0299985, 14143.484, 202
2.0399985, 14193.547, 202
2.0499985, 14129.544, 202
