t, E, n
0.01, 195.2843, 2
0.02, 388.084, 4
0.03, 579.8556, 6
0.04, 770.78534, 8
0.049999997, 959.53284, 10
0.059999995, 1146.25, 12
0.06999999, 1331.1458, 14
0.07999999, 1514.1245, 16
0.08999999, 1694.8911, 18
0.09999999, 1874.7511, 20
0.109999985, 2053.1992, 22
0.11999998, 2229.849, 24
0.12999998, 2404.6187, 26
0.13999999, 2577.649, 28
0.14999999, 2749.2214, 30
0.16, 2919.761, 32
0.17, 3089.3716, 34
0.18, 3256.899, 36
0.19000001, 3422.4895, 38
0.20000002, 3587.3374, 40
0.21000002, 3750.4287, 42
0.22000003, 3911.4502, 44
0.23000003, 4070.44, 46
0.24000004, 4228.134, 48
0.25000003, 4385.22, 50
0.26000002, 4541.75, 52
0.27, 4696.167, 54
0.28, 4849.179, 56
0.29, 5000.6187, 58
0.29999998, 5150.5083, 60
0.30999997, 5299.4917, 62
0.31999996, 5447.588, 64
0.32999995, 5594.2666, 66
0.33999994, 5739.792, 68
0.34999993, 5885.03, 70
0.35999992, 6028.0938, 72
0.36999992, 6170.39, 74
0.3799999, 6311.548, 76
0.3899999, 6450.4946, 78
0.3999999, 6588.3887, 80
0.40999988, 6725.018, 82
0.41999987, 6861.0264, 84
0.42999986, 6995.774, 86
0.43999985, 7128.8696, 88
0.44999984, 7261.163, 90
0.45999983, 7392.63, 92
0.46999982, 7523.1216, 94
0.4799998, 7652.8447, 96
0.4899998, 7780.814, 98
0.4999998, 7908.3457, 100
0.5099998, 8035.234, 102
0.5199998, 8061.7393, 102
0.5299998, 8029.881, 102
0.5399998, 7982.8994, 102
0.5499998, 7987.2827, 102
0.55999976, 8008.517, 102
0.56999975, 8010.96, 102
0.57999974, 8014.095, 102
0.58999974, 8039.3047, 102
0.5999997, 8000.5903, 102
0.6099997, 7999.25, 102
0.6199997, 8013.7344, 102
0.6299997, 8025.207, 102
0.6399997, 8029.372, 102
0.6499997, 8021.2466, 102
0.65999967, 8000.5347, 102
0.66999966, 7976.4263, 102
0.67999965, 8010.706, 102
0.68999964, 8041.4834, 102
0.69999963, 8016.3657, 102
0.7099996, 8020.571, 102
0.7199996, 8048.7007, 102
0.7299996, 8078.312, 102
0.7399996, 8080.8237, 102
0.7499996, 8065.449, 102
0.7599996, 8015.8296, 102
0.76999956, 8055.3643, 102
0.77999955, 8063.2495, 102
0.78999954, 8090.629, 102
0.79999954, 8100.2275, 102
0.8099995, 8083.286, 102
0.8199995, 8070.3027, 102
0.8299995, 8083.0845, 102
0.8399995, 8099.4907, 102
0.8499995, 8058.4, 102
0.8599995, 8103.957, 102
0.86999947, 8094.6987, 102
0.87999946, 8101.105, 102
0.88999945, 8152.7554, 102
0.89999944, 8162.7896, 102
0.90999943, 8176.2456, 102
0.9199994, 8158.439, 102
0.9299994, 8173.9336, 102
0.9399994, 8205.071, 102
0.9499994, 8218.778, 102
0.9599994, 8222.455, 102
0.9699994, 8222.048, 102
0.97999936, 8222.043, 102
0.98999935, 8261.988, 102
0.99999934, 8254.879, 102
1.0099994, 8263.953, 102
1.0199994, 8271.968, 102
1.0299994, 8228.724, 102
1.0399994, 8191.7554, 102
1.0499994, 8196.202, 102
1.0599993, 8175.929, 102
1.0699993, 8191.778, 102
1.0799993, 8200.75, 102
1.0899993, 8181.9077, 102
1.0999993, 8224.219, 102
1.1099993, 8235.494, 102
1.1199993, 8248.661, 102
1.1299993, 8269.847, 102
1.1399993, 8247.73, 102
1.1499993, 8278.291, 102
1.1599993, 8293.959, 102
1.1699992, 8249.04, 102
1.1799992, 8218.949, 102
1.1899992, 8179.4653, 102
1.1999992, 8176.387, 102
1.2099992, 8200.682, 102
1.2199992, 8235.774, 102
1.2299992, 8204.05, 102
1.2399992, 8207.168, 102
1.2499992, 8175.563, 102
1.2599992, 8152.753, 102
1.2699991, 8157.117, 102
1.2799991, 8171.812, 102
1.2899991, 8160.6313, 102
1.2999991, 8150.5747, 102
1.3099991, 8154.1704, 102
1.3199991, 8161.1494, 102
1.3299991, 8167.31, 102
1.3399991, 8130.195, 102
1.3499991, 8124.98, 102
1.3599991, 8128.5146, 102
1.369999, 8114.5254, 102
1.379999, 8095.606, 102
1.389999, 8114.789, 102
1.399999, 8069.71, 102
1.409999, 8067.6226, 102
1.419999, 8082.015, 102
1.429999, 8064.8677, 102
1.439999, 8036.8857, 102
1.449999, 8047.914, 102
1.459999, 8033.3774, 102
1.469999, 8038.5913, 102
1.479999, 8068.051, 102
1.4899989, 8050.767, 102
1.4999989, 8082.627, 102
1.5099989, 8074.169, 102
1.5199989, 8057.8027, 102
1.5299989, 8058.854, 102
1.5399989, 8067.627, 102
1.5499989, 8059.76, 102
1.5599989, 8047.1396, 102
1.5699989, 8041.704, 102
1.5799989, 8043.057, 102
1.5899988, 8016.258, 102
1.5999988, 8019.8687, 102
1.6099988, 8036.1665, 102
1.6199988, 8027.0093, 102
1.6299988, 8016.7227, 102
1.6399988, 8051.565, 102
1.6499988, 8040.726, 102
1.6599988, 8002.448, 102
1.6699988, 7999.112, 102
1.6799988, 7988.4185, 102
1.6899987, 7995.355, 102
1.6999987, 8006.508, 102
1.7099987, 8001.004, 102
1.7199987, 8011.353, 102
1.7299987, 8049.6235, 102
1.7399987, 8043.284, 102
1.7499987, 8042.4756, 102
1.7599987, 8048.16, 102
1.7699987, 8026.1113, 102
1.7799987, 8042.1875, 102
1.7899987, 8029.6714, 102
1.7999986, 8013.6006, 102
1.8099986, 7975.5454, 102
1.8199986, 7981.7466, 102
1.8299986, 7960.487, 102
1.8399986, 7951.5205, 102
1.8499986, 7975.9404, 102
1.8599986, 7993.4336, 102
1.8699986, 8001.3267, 102
1.8799986, 8015.928, 102
1.8899986, 7971.6714, 102
1.8999985, 7964.2046, 102
1.9099985, 7974.5264, 102
1.9199985, 7975.959, 102
1.9299985, 7961.663, 102
1.9399985, 7982.357, 102
1.9499985, 7966.495, 102
1.9599985, 7980.1665, 102
1.9699985, 7994.157, 102
1.9799985, 7988.9946, 102
1.9899985, 8004.0806, 102
1.9999985, 8011.31, 102
2.0099986, 8008.7344, 102
2.0199986, 7981.5684, 102
2.0299985, 7938.4424, 102
2.0399985, 7927.258, 102
2.0499985, 7879.811, 102
2.0599985, 7886.8574, 102
2.0699985, 7908.0186, 102
2.0799985, 7931.691, 102
2.0899985, 7957.2627, 102
2.0999985, 7969.3726, 102
2.1099985, 7966.0737, 102
2.1199985, 7970.9707, 102
2.1299984, 7958.4404, 102
2.1399984, 7929.381, 102
2.1499984, 7942.578, 102
2.1599984, 7931.0396, 102
2.1699984, 7892.8516, 102
2.1799984, 7852.465, 102
