 n,col2
 1000,9.047619047619047
 1100,6.37037037037037
 1200,7.2272727272727275
 1300,7.28
 1400,9.277777777777779
 1500,9.555555555555555
 1600,12.545454545454545
 1700,13.8
 1800,14.454545454545455
 1900,16.428571428571427
 2000,18.444444444444443
 2100,19.952380952380953
 2200,22.125
 2300,24
 2400,27
 2500,28.666666666666668
 2600,31.4
 2700,34.4
 2800,36.333333333333336
 2900,39.4
 3000,43.25
 3100,46.333333333333336
 3200,48.75
 3300,52.333333333333336
 3400,55.666666666666664
 3500,62
 3600,64.33333333333333
 3700,66.33333333333333
 3800,70.5
 3900,74.33333333333333
 4000,79.5
 4100,83.5
 4200,85
 4300,83
 4400,90.33333333333333
 4500,92
 4600,96.5
 4700,102
 4800,105.5
 4900,109.5
 5000,116
 5100,119.5
 5200,125
 5300,131
 5400,135
 5500,140
 5600,145.5
 5700,151
 5800,160
 5900,161
 6000,166
 6100,171
 6200,185
 6300,188
 6400,193
 6500,196
 6600,204
 6700,207
 6800,215
 6900,221
 7000,228
 7100,233
 7200,241
 7400,256
 7500,258
 7600,266
