t, n, Tsim, deviation, collisionCount
90.65093, 50,0.0,7,10
90.700935, 50,0.0,1,4
90.90095, 50,0.0,0,2
90.95095, 50,0.0,0,2
91.00095, 50,0.0,0,1
91.05096, 50,0.0,0,6
91.10096, 50,0.0,0,5
91.15096, 50,0.0,0,3
91.200966, 50,0.0,0,2
91.25097, 50,0.0,0,1
91.30097, 50,0.0,0,2
91.350975, 50,0.0,0,2
91.40098, 50,0.0,0,4
91.45098, 50,0.0,0,2
91.65099, 50,0.0,0,1
91.851006, 50,0.0,0,2
91.90101, 50,0.0,0,1
91.95101, 50,0.0,0,2
92.001015, 50,0.0,0,2
92.45104, 50,0.0,0,1
92.501045, 50,0.0,0,2
92.55105, 50,0.0,0,5
92.60105, 50,0.0,0,4
92.651054, 50,0.0,0,3
92.70106, 50,0.0,0,2
92.75106, 50,0.0,0,2
92.80106, 50,0.0,0,1
92.85107, 50,0.0,0,2
92.90107, 50,0.0,0,6
92.95107, 50,0.0,0,7
93.001076, 50,0.0,0,6
93.05108, 50,0.0,0,5
93.10108, 50,0.0,0,3
93.151085, 50,1.0,0,1
93.20109, 50,0.0,0,1
93.25109, 50,0.0,0,1
93.301094, 50,0.0,0,2
93.3511, 50,0.0,0,6
93.4011, 50,1.0,0,11
93.4511, 50,0.0,0,6
93.50111, 50,0.0,0,2
93.55111, 50,0.0,0,1
93.60111, 50,1.0,0,3
93.651115, 50,0.0,0,2
93.70112, 50,0.0,0,1
93.90113, 50,0.0,0,4
93.95113, 50,0.0,0,4
94.00114, 50,0.0,0,4
94.05114, 50,0.0,0,2
94.20115, 50,0.0,0,1
94.25115, 50,0.0,0,1
94.35116, 50,0.0,0,1
94.451164, 50,0.0,0,2
94.65118, 50,0.0,0,2
94.70118, 50,0.0,0,3
94.75118, 50,0.0,0,2
94.801186, 50,0.0,0,1
94.90119, 50,1.0,0,1
95.25121, 50,0.0,0,1
95.35122, 50,0.0,0,1
95.50123, 50,1.0,0,2
95.55123, 50,0.0,0,1
95.65124, 50,0.0,0,2
95.70124, 50,0.0,0,1
96.00126, 50,0.0,0,1
96.15127, 50,0.0,0,1
96.40128, 50,0.0,0,1
96.50129, 50,0.0,0,2
96.55129, 50,0.0,0,2
96.601295, 50,0.0,0,2
96.6513, 50,0.0,0,2
96.7013, 50,0.0,0,2
96.751305, 50,0.0,0,5
96.80131, 50,0.0,0,3
96.85131, 50,0.0,0,1
97.401344, 50,1.0,0,2
97.60136, 50,0.0,0,1
98.20139, 50,0.0,0,1
98.45141, 50,0.0,0,2
98.50141, 50,0.0,0,1
98.70142, 50,0.0,0,3
