t, n, Tsim, deviation, collisionCount
210.40823, 80,0.0,0,13
210.45824, 80,0.0,0,16
210.50824, 80,0.0,0,13
210.55824, 80,0.0,0,5
210.60825, 80,0.0,2,5
210.65825, 80,0.0,1,4
210.70825, 80,0.0,0,1
210.75826, 80,0.0,0,2
210.80826, 80,0.0,0,1
210.85826, 80,0.0,0,2
210.90826, 80,0.0,0,4
210.95827, 80,0.0,0,3
211.00827, 80,0.0,0,7
211.05827, 80,0.0,0,10
211.10828, 80,0.0,0,7
211.15828, 80,0.0,0,4
211.20828, 80,0.0,0,3
211.25829, 80,0.0,0,8
211.30829, 80,0.0,1,5
211.35829, 80,0.0,0,2
211.4083, 80,0.0,0,3
211.4583, 80,0.0,0,3
211.5083, 80,0.0,0,2
211.5583, 80,0.0,0,3
211.70831, 80,0.0,0,1
211.80832, 80,0.0,0,1
211.85832, 80,0.0,0,3
211.90833, 80,0.0,0,2
211.95833, 80,0.0,0,3
212.00833, 80,0.0,0,2
212.05833, 80,0.0,0,3
212.15834, 80,1.0,0,3
212.30835, 80,0.0,0,2
212.35835, 80,0.0,0,13
212.40836, 80,0.0,0,7
212.45836, 80,0.0,0,6
212.50836, 80,0.0,0,5
212.55836, 80,0.0,0,4
212.60837, 80,0.0,0,4
212.65837, 80,0.0,0,3
212.70837, 80,0.0,0,1
212.90839, 80,0.0,0,1
213.35841, 80,0.0,0,2
213.40842, 80,0.0,0,3
213.45842, 80,0.0,0,4
213.50842, 80,0.0,0,5
213.55843, 80,0.0,0,3
213.65843, 80,0.0,0,6
213.70844, 80,0.0,0,5
213.75844, 80,0.0,0,5
213.80844, 80,0.0,0,4
213.85844, 80,0.0,0,4
213.90845, 80,0.0,0,3
213.95845, 80,0.0,0,2
214.00845, 80,0.0,0,2
214.05846, 80,0.0,0,3
214.10846, 80,0.0,0,5
214.15846, 80,0.0,0,3
214.20847, 80,0.0,0,2
214.25847, 80,0.0,0,1
214.8585, 80,0.0,0,1
214.90851, 80,0.0,0,2
214.95851, 80,0.0,0,2
215.00851, 80,0.0,0,2
215.05852, 80,0.0,0,3
215.10852, 80,0.0,0,1
215.20853, 80,0.0,0,2
215.25853, 80,0.0,0,2
215.30853, 80,0.0,0,3
215.35854, 80,0.0,0,2
215.40854, 80,0.0,0,1
215.50854, 80,0.0,0,1
215.60855, 80,0.0,0,2
215.65855, 80,1.0,0,2
215.70856, 80,0.0,0,2
215.75856, 80,0.0,0,2
215.80856, 80,0.0,0,1
215.85857, 80,0.0,0,1
216.5086, 80,0.0,0,2
216.55861, 80,0.0,0,11
216.60861, 80,0.0,0,13
216.65862, 80,0.0,0,10
216.70862, 80,0.0,0,7
216.75862, 80,0.0,0,8
216.80862, 80,0.0,0,4
216.85863, 80,0.0,0,4
216.90863, 80,0.0,0,4
216.95863, 80,0.0,0,3
217.00864, 80,0.0,0,3
217.05864, 80,0.0,0,7
217.10864, 80,0.0,0,8
217.15865, 80,0.0,0,8
217.20865, 80,0.0,0,6
217.25865, 80,0.0,0,5
217.30865, 80,0.0,0,4
217.35866, 80,0.0,0,8
217.40866, 80,0.0,0,9
217.45866, 80,0.0,0,3
217.60867, 80,0.0,0,2
217.65868, 80,0.0,0,3
217.70868, 80,0.0,0,2
217.75868, 80,0.0,0,4
217.80869, 80,0.0,0,1
217.85869, 80,0.0,0,3
217.90869, 80,0.0,0,1
217.9587, 80,0.0,0,2
218.0087, 80,0.0,0,3
218.0587, 80,0.0,0,1
218.1087, 80,0.0,0,2
218.1587, 80,0.0,0,2
218.20871, 80,0.0,0,4
218.25871, 80,0.0,0,2
218.30872, 80,0.0,0,2
218.40872, 80,0.0,0,1
218.45872, 80,0.0,0,3
218.50873, 80,0.0,0,3
218.55873, 80,0.0,0,7
218.60873, 80,0.0,0,3
218.65874, 80,0.0,0,4
218.70874, 80,0.0,0,5
218.75874, 80,0.0,0,4
218.80875, 80,0.0,0,1
