 n,col2
 1000,3.3421052631578947
 1100,3.090909090909091
 1200,3.9047619047619047
 1300,4.7368421052631575
 1400,5.875
 1500,6.444444444444445
 1600,6.944444444444445
 1700,8.333333333333334
 1800,8.125
 1900,9.375
 2000,10.307692307692308
 2100,11
 2200,11.785714285714286
 2300,12.8
 2400,14.214285714285714
 2500,14.6
 2600,15.529411764705882
 2700,16.2
 2800,17.428571428571427
 2900,18.5
 3000,19.416666666666668
 3100,20.25
 3200,21.833333333333332
 3300,22.77777777777778
 3400,24.2
 3500,25.5
 3600,26.88888888888889
 3700,28.428571428571427
 3800,29.625
 3900,31
 4000,32.5
 4100,34.5
 4200,36.333333333333336
 4300,37.5
 4400,40.5
 4500,42.4
 4600,44.6
 4700,46.5
 4800,49.2
 4900,52.666666666666664
 5000,52.6
 5100,53.25
 5200,56.5
 5300,59
 5400,60
 5500,62.4
 5600,65.25
 5700,67.25
 5800,70.33333333333333
 5900,73
 6000,73
 6100,77
 6200,79.8
 6300,81.8
 6400,83.75
 6500,89.25
 6600,89
 6700,90.75
 6800,93.75
 6900,95.25
 7000,97.25
 7100,100.5
 7200,103
 7300,104.5
 7400,106
 7500,110
 7600,111.25
 7700,113
 7800,120.33333333333333
 7900,119.66666666666667
 8000,122.33333333333333
 8100,126.66666666666667
 8200,127.66666666666667
 8300,130.5
 8400,133.5
 8500,139
 8600,141
 8700,145.5
 8800,148.5
 8900,153.5
 9000,156
 9100,162
 9200,164.5
 9300,167.5
 9400,173.5
 9500,191
 9600,180
 9700,183.33333333333334
 9800,185.66666666666666
 9900,193.66666666666666
 9999,151.1487603305785
 10000,193.66666666666666
