 n,col2
 1000,2.3636363636363638
 1100,1.7714285714285714
 1200,1.793103448275862
 1300,1.84
 1400,1.4583333333333333
 1500,2.0434782608695654
 1600,2.260869565217391
 1700,2.5384615384615383
 1800,2.5454545454545454
 1900,2.8125
 2000,2.793103448275862
 2100,3
 2200,3.090909090909091
 2300,3.5
 2400,3.608695652173913
 2500,4
 2600,4.083333333333333
 2700,4.125
 2800,4.541666666666667
 2900,4.521739130434782
 3000,4.869565217391305
 3100,5.136363636363637
 3200,4.913043478260869
 3300,5.142857142857143
 3400,5.5
 3500,5.333333333333333
 3600,5.636363636363637
 3700,5.75
 3800,6.315789473684211
 3900,6.45
 4000,6.555555555555555
 4100,6.833333333333333
 4200,6.894736842105263
 4300,7.3125
 4400,7.875
 4500,7.5
 4600,7.882352941176471
 4700,8.0625
 4800,8.6
 4900,9
 5000,9.125
 5100,9.357142857142858
 5200,9.538461538461538
 5300,9.846153846153847
 5400,10.714285714285714
 5500,10.833333333333334
 5600,11.166666666666666
 5700,11.363636363636363
 5800,12.090909090909092
 5900,12
 6000,12.090909090909092
 6100,12.384615384615385
 6200,13.11111111111111
 6300,13.777777777777779
 6400,13.5
 6500,13.727272727272727
 6600,14.3
 6700,14.333333333333334
 6800,14.818181818181818
 6900,15
 7000,15.666666666666666
 7100,16.333333333333332
 7200,16.444444444444443
 7300,16.88888888888889
 7400,16.77777777777778
 7500,17.75
 7600,17.375
 7700,17.333333333333332
 7800,18
 7900,18.571428571428573
 8000,18.875
 8100,19.25
 8200,19.5
 8300,21.142857142857142
 8400,20.428571428571427
 8500,20.571428571428573
 8600,21.571428571428573
 8700,21.833333333333332
 8800,22.25
 8900,22.666666666666668
 9000,23.714285714285715
 9100,23.428571428571427
 9200,23.833333333333332
 9300,24.333333333333332
 9400,24.333333333333332
 9500,25.166666666666668
 9600,25.833333333333332
 9700,26.166666666666668
 9800,26.285714285714285
 9900,26.136363636363637
 10000,25.30952380952381
